item,reason
20150105000201_12287,iv_before_history
20150105000201_12288,iv_before_history
20150128000263_200,iv_before_history
20150202000410_3294,iv_before_history
20150303000211_1523,iv_before_history
20150311000268_202,iv_before_history
20150316000582_1531,iv_before_history
20150406000296_12744,iv_before_history
20150406002010_3342,iv_before_history
20150413002144_3347,iv_before_history
20150416000345_5633,iv_before_history
20150416000345_5634,iv_before_history
20150416000345_5635,iv_before_history
20150423000331_5666,iv_before_history
20150427000607_509,iv_before_history
20150513004269_5741,iv_before_history
20150527000406_5811,iv_before_history
20150610000120_210,iv_before_history
20150623000232_1601,iv_before_history
20150629000506_3398,iv_before_history
20150707000334_1607,iv_before_history
20150708000082_213,iv_before_history
20150713000048_12294,iv_before_history
20150729000029_12383,iv_before_history
20150810000320_1624,iv_before_history
20150825000177_5321,iv_before_history
20150825000229_5322,iv_before_history
20150908000286_5351,iv_before_history
20150909000222_11606,iv_before_history
20150916000198_11609,iv_before_history
20150922000190_11628,iv_before_history
20150924000453_11642,iv_before_history
20150925000465_11669,iv_before_history
20151002000349_11675,iv_before_history
20151005000426_3449,iv_before_history
20151006000471_11673,iv_before_history
20151007000253_11672,iv_before_history
20151012000436_3456,iv_before_history
20151019000237_3459,iv_before_history
20151026000257_3462,iv_before_history
20151102000337_3464,iv_before_history
20151102000337_3465,iv_before_history
20151123000218_3473,iv_before_history
20151130001526_3475,iv_before_history
20151130001526_3476,iv_before_history
20151130001599_1089,iv_before_history
20151202000191_218,iv_before_history
20151204000108_1676,iv_before_history
20151207000294_3480,iv_before_history
20151214000370_3482,iv_before_history
20151214000370_3483,iv_before_history
20151215000181_589,iv_before_history
20151215000225_5452,iv_before_history
20151218000170_590,iv_before_history
20151221000260_3485,iv_before_history
20151222000235_1488,iv_before_history
20151224000163_1684,iv_before_history
20160108000710_5959,iv_before_history
20160111000535_3494,iv_before_history
20160112000303_1103,iv_before_history
20160115000227_5968,iv_before_history
20160115000227_5970,iv_before_history
20160118000324_3500,iv_before_history
20160119000098_5501,iv_before_history
20160121000145_5479,iv_before_history
20160122000117_1693,iv_before_history
20160125000289_3505,iv_before_history
20160126000214_5502,iv_before_history
20160201000283_3508,iv_before_history
20160205000256_1698,iv_before_history
20160205000316_13208,iv_before_history
20160219000092_1702,iv_before_history
20160321000403_12245,iv_before_history
20160406001723_1716,iv_before_history
20160408000837_13549,iv_before_history
20160408001083_6115,iv_before_history
20160408001083_6116,iv_before_history
20160415000347_1720,iv_before_history
20160421000209_15459,iv_before_history
20160421000209_15461,iv_before_history
20160421000209_15462,iv_before_history
20160422000039_15542,iv_before_history
20160425000297_15464,iv_before_history
20160425000297_15466,iv_before_history
20160425000297_15467,iv_before_history
20160427000231_15550,iv_before_history
20160427000231_15551,iv_before_history
20160427000546_15549,iv_before_history
20160428000382_15470,iv_before_history
20160428000382_15473,iv_before_history
20160428000382_15474,iv_before_history
20160503000093_15557,iv_before_history
20160504000282_15560,iv_before_history
20160504001228_15482,iv_before_history
20160504001228_15484,iv_before_history
20160504001228_15485,iv_before_history
20160504001334_1728,iv_before_history
20160504001396_15561,iv_before_history
20160504001396_15562,iv_before_history
20160504001624_15559,iv_before_history
20160504001947_13694,iv_before_history
20160510000446_15489,iv_before_history
20160510000446_15490,iv_before_history
20160510000446_15491,iv_before_history
20160512003254_12411,iv_before_history
20160513004320_5669,iv_before_history
20160520000043_15580,iv_before_history
20160520000043_15581,iv_before_history
20160520000104_13740,iv_before_history
20160520000107_6581,iv_before_history
20160520000116_15600,iv_before_history
20160520000116_15601,iv_before_history
20160520000116_15603,iv_before_history
20160520000116_15605,iv_before_history
20160520000207_6583,iv_before_history
20160520000232_15584,iv_before_history
20160520000232_15585,iv_before_history
20160520000315_15587,iv_before_history
20160524000241_15608,iv_before_history
20160524000241_15610,iv_before_history
20160524000241_15611,iv_before_history
20160525000169_15594,iv_before_history
20160526000130_15613,iv_before_history
20160526000130_15615,iv_before_history
20160526000130_15616,iv_before_history
20160526000130_15618,iv_before_history
20160526000219_13800,iv_before_history
20160527000198_13811,iv_before_history
20160530000565_15621,iv_before_history
20160530000565_15623,iv_before_history
20160530000565_15624,iv_before_history
20160601000025_13833,iv_before_history
20160602000059_13840,iv_before_history
20160602000126_15626,iv_before_history
20160602000126_15628,iv_before_history
20160607000132_15630,iv_before_history
20160607000132_15632,iv_before_history
20160607000132_15633,iv_before_history
20160609000065_15636,iv_before_history
20160609000065_15637,iv_before_history
20160609000065_15638,iv_before_history
20160609000116_13870,iv_before_history
20160609000142_13878,iv_before_history
20160609000327_5736,iv_before_history
20160613000050_15639,iv_before_history
20160613000050_15640,iv_before_history
20160613000050_15643,iv_before_history
20160613000312_1737,iv_before_history
20160613000337_3567,iv_before_history
20160615000025_15704,iv_before_history
20160616000038_13908,iv_before_history
20160616000056_15645,iv_before_history
20160616000056_15646,iv_before_history
20160616000056_15647,iv_before_history
20160616000056_15648,iv_before_history
20160620000093_15649,iv_before_history
20160620000093_15652,iv_before_history
20160620000093_15653,iv_before_history
20160620000305_3570,iv_before_history
20160623000527_15655,iv_before_history
20160623000527_15657,iv_before_history
20160623000527_15658,iv_before_history
20160627000490_15660,iv_before_history
20160627000490_15661,iv_before_history
20160627000490_15662,iv_before_history
20160627000490_15663,iv_before_history
20160627000918_3572,iv_before_history
20160627000918_3573,iv_before_history
20160630000237_15666,iv_before_history
20160630000237_15667,iv_before_history
20160630000237_15668,iv_before_history
20160714000065_14079,iv_before_history
20160715000104_5799,iv_before_history
20160715000323_1213,iv_before_history
20160722000171_15731,iv_before_history
20160722000374_15739,iv_before_history
20160725000430_3588,iv_before_history
20160726000442_3590,iv_before_history
20160801001965_3592,iv_before_history
20160811000275_12728,iv_before_history
20160822000088_14271,iv_before_history
20160822000105_14272,iv_before_history
20160822000269_3598,iv_before_history
20160822000269_3599,iv_before_history
20160824000193_15787,iv_before_history
20160824000193_15788,iv_before_history
20160824000193_15789,iv_before_history
20160824000234_15790,iv_before_history
20160825000062_15794,iv_before_history
20160825000082_15791,iv_before_history
20160825000148_5845,iv_before_history
20160826000084_15797,iv_before_history
20160829000050_14330,iv_before_history
20160831000601_15902,iv_before_history
20160901000139_15862,iv_before_history
20160901000139_15864,iv_before_history
20160901000139_15865,iv_before_history
20160901000139_15866,iv_before_history
20160901000199_15911,iv_before_history
20160902000125_15906,iv_before_history
20160902000196_15909,iv_before_history
20160902000196_15910,iv_before_history
20160905000133_15870,iv_before_history
20160905000133_15871,iv_before_history
20160905000133_15872,iv_before_history
20160906000310_15913,iv_before_history
20160907000235_15922,iv_before_history
20160907000235_15923,iv_before_history
20160908000140_15879,iv_before_history
20160908000140_15880,iv_before_history
20160908000140_15881,iv_before_history
20160908000140_15883,iv_before_history
20160912000066_15928,iv_before_history
20160912000183_15924,iv_before_history
20160912000236_15930,iv_before_history
20160912000350_15926,iv_before_history
20160913000146_14427,iv_before_history
20160920000060_15888,iv_before_history
20160920000060_15889,iv_before_history
20160920000060_15891,iv_before_history
20160920000160_12860,iv_before_history
20160922000052_15893,iv_before_history
20160922000052_15897,iv_before_history
20160922000102_15943,iv_before_history
20160922000102_15944,iv_before_history
20160923000031_15941,iv_before_history
20160923000031_15942,iv_before_history
20160923000048_15940,iv_before_history
20160926000189_16001,iv_before_history
20160926000189_16003,iv_before_history
20160926000189_16004,iv_before_history
20160926000189_16005,iv_before_history
20160929000183_16011,iv_before_history
20160929000183_16012,iv_before_history
20160929000277_15957,iv_before_history
20160929000390_14526,iv_before_history
20160929000478_15959,iv_before_history
20160930000304_15958,iv_before_history
20161004000063_16015,iv_before_history
20161004000063_16016,iv_before_history
20161004000063_16017,iv_before_history
20161005000465_16021,iv_before_history
20161006000054_15973,iv_before_history
20161006000274_16023,iv_before_history
20161006000274_16026,iv_before_history
20161006000274_16027,iv_before_history
20161007000057_15969,iv_before_history
20161007000130_15971,iv_before_history
20161007000130_15972,iv_before_history
20161010000454_16029,iv_before_history
20161010000454_16032,iv_before_history
20161010000454_16033,iv_before_history
20161013000115_16039,iv_before_history
20161013000115_16041,iv_before_history
20161013000115_16042,iv_before_history
20161013000115_16043,iv_before_history
20161013000249_15989,iv_before_history
20161013000342_15990,iv_before_history
20161013000423_3629,iv_before_history
20161014000082_15983,iv_before_history
20161014000349_15987,iv_before_history
20161014000349_15988,iv_before_history
20161017000222_16044,iv_before_history
20161017000222_16047,iv_before_history
20161017000222_16048,iv_before_history
20161017000338_3632,iv_before_history
20161020000049_16103,iv_before_history
20161020000122_16053,iv_before_history
20161020000122_16055,iv_before_history
20161020000209_15998,iv_before_history
20161020000209_15999,iv_before_history
20161020000233_16104,iv_before_history
20161021000047_16102,iv_before_history
20161026000113_13021,iv_before_history
20161026000113_13022,iv_before_history
20161026000113_13023,iv_before_history
20161026000113_13024,iv_before_history
20161026000113_13025,iv_before_history
20161027000153_16122,iv_before_history
20161031000363_3639,iv_before_history
20161031000363_3640,iv_before_history
20161103000216_6849,iv_before_history
20161110000428_13072,iv_before_history
20161118000340_1783,iv_before_history
20161121000196_1352,iv_before_history
20161121000212_3653,iv_before_history
20161125000086_227,iv_before_history
20161129000051_14936,iv_before_history
20161202000401_1787,iv_before_history
20161205000083_14999,iv_before_history
20161205000083_15000,iv_before_history
20161208000020_15015,iv_before_history
20161208000023_15021,iv_before_history
20161212000388_3664,iv_before_history
20161219000255_3667,iv_before_history
20170110000455_6131,iv_before_history
20170113000397_1124,iv_before_history
20170117000208_1619,iv_before_history
20170118000304_19,iv_before_history
20170119000038_15277,iv_before_history
20170123000312_3683,iv_before_history
20170124000244_1623,iv_before_history
20170125000168_6177,iv_before_history
20170126000197_15335,iv_before_history
20170131000199_3687,iv_before_history
20170201000335_6192,iv_before_history
20170203000317_20248,iv_before_history
20170206000391_1808,iv_before_history
20170207000107_6201,iv_before_history
20170210000599_4025,iv_before_history
20170213000375_664,iv_before_history
20170214000392_1156,iv_before_history
20170221000236_1636,iv_before_history
20170223000171_233,iv_before_history
20170223000222_15579,iv_before_history
20170224000509_58,iv_before_history
20170228001227_6252,iv_before_history
20170302000324_15622,iv_before_history
20170303000588_70,iv_before_history
20170307000336_1641,iv_before_history
20170310000329_82,iv_before_history
20170310000671_4049,iv_missing_series
20170329000935_13638,iv_before_history
20170417000285_684,iv_before_history
20170421000435_6422,iv_before_history
20170421000552_4086,iv_missing_series
20170427001031_4089,iv_before_history
20170504001018_6426,iv_before_history
20170529000242_3744,iv_before_history
20170529000292_6490,iv_before_history
20170602000057_6500,iv_before_history
20170602000057_6501,iv_before_history
20170602000057_6502,iv_before_history
20170614000123_16316,iv_before_history
20170616000090_6530,iv_before_history
20170621000098_16372,iv_before_history
20170623000098_6532,iv_before_history
20170626000155_3759,iv_before_history
20170705000181_16479,extra_formula_or_level_PMT_1_FRML
20170710000142_6550,iv_before_history
20170721000043_16587,missing_explicit_survival_coupon
20170724000185_6572,iv_before_history
20170731000203_3780,iv_before_history
20170801000193_6580,iv_before_history
20170807000079_6590,iv_before_history
20170809000260_3784,iv_missing_series
20170822000063_6620,iv_before_history
20170824000055_16881,iv_before_history
20170824000221_7495,iv_before_history
20170911000222_17032,iv_before_history
20170915000403_1293,iv_before_history
20171013000123_17267,extra_formula_or_level_PMT_1_FRML
20171016000318_3840,unsupported_ki_window
20171018000240_3842,unsupported_ki_window
20171025000396_3846,unsupported_ki_window
20171030000377_3850,unsupported_ki_window
20171117000415_4447,iv_missing_series
20171117000415_4448,iv_before_history
20171124000079_17598,payment_lag_not_identifiable_from_maturity
20171124000476_4455,iv_before_history
20180119000076_18005,missing_explicit_survival_coupon
20180207000151_18170,missing_explicit_survival_coupon
20180223000242_1642,unsupported_ki_window
20180227000290_18367,missing_explicit_survival_coupon
20180307000326_3951,unsupported_ki_window
20180328000347_18649,missing_explicit_survival_coupon
20180402004041_3970,unsupported_ki_window
20180411001883_3979,unsupported_ki_window
20180420000606_1659,unsupported_ki_window
20180425000742_3992,unsupported_ki_window
20180426000178_18954,payment_lag_not_identifiable_from_maturity
20180601000035_19224,extra_formula_or_level_PMT_1_FRML
20180604000380_4020,unsupported_ki_window
20180615000053_19347,payment_lag_not_identifiable_from_maturity
20180620000300_4037,monthly_evaluation_outside_life
20180621000026_19368,missing_explicit_survival_coupon
20180628000089_19438,payment_lag_not_identifiable_from_maturity
20180705000010_19478,missing_explicit_survival_coupon
20180725000148_4073,unsupported_ki_window
20180907000023_19899,payment_lag_not_identifiable_from_maturity
20180917000244_4120,unsupported_ki_window
20181005000299_20091,payment_lag_not_identifiable_from_maturity
20181011000200_20116,extra_formula_or_level_PMT_1_FRML
20181022000091_20214,missing_explicit_survival_coupon
20181024000056_20218,extra_formula_or_level_PMT_1_FRML
20181024000139_4147,unsupported_ki_window
20181030000065_20249,missing_explicit_survival_coupon
20181105000215_4160,iv_missing_series
20181107000130_4163,unsupported_ki_window
20181107000294_17276,missing_explicit_survival_coupon
20181120000256_20349,missing_explicit_survival_coupon
20181123000087_20377,extra_formula_or_level_PMT_1_FRML
20181126000147_892,iv_missing_series
20181127000074_20379,extra_formula_or_level_PMT_1_FRML
20181203000201_4177,unsupported_ki_window
20181206000016_20444,missing_explicit_survival_coupon
20181206000016_20446,missing_explicit_survival_coupon
20181212000333_4183,unsupported_ki_window
20181213000141_20466,payment_lag_not_identifiable_from_maturity
20181213000141_20467,missing_explicit_survival_coupon
20181220000097_20508,extra_formula_or_level_PMT_1_FRML
20181220000097_20509,payment_lag_not_identifiable_from_maturity
20181220000097_20512,missing_explicit_survival_coupon
20181220000097_20513,missing_explicit_survival_coupon
20190102000216_20537,missing_explicit_survival_coupon
20190107000066_20594,missing_explicit_survival_coupon
20190114000332_1722,unsupported_ki_window
20190114000391_7710,missing_explicit_survival_coupon
20190116000201_20694,extra_formula_or_level_PMT_1_FRML
20190116000323_4205,unsupported_ki_window
20190117000029_20699,payment_lag_not_identifiable_from_maturity
20190124000095_20735,missing_explicit_survival_coupon
20190124000095_20736,missing_explicit_survival_coupon
20190124000095_20737,missing_explicit_survival_coupon
20190130000097_20761,payment_lag_not_identifiable_from_maturity
20190130000097_20765,missing_explicit_survival_coupon
20190211000091_20795,missing_explicit_survival_coupon
20190213000729_4223,unsupported_ki_window
20190218000694_4228,unsupported_ki_window
20190219000041_20836,missing_explicit_survival_coupon
20190220000662_4230,unsupported_ki_window
20190227003325_1734,payment_lag_not_identifiable_from_maturity
20190313000843_4248,unsupported_ki_window
20190314000181_21056,payment_lag_not_identifiable_from_maturity
20190314000181_21063,missing_explicit_survival_coupon
20190315000503_1738,payment_lag_not_identifiable_from_maturity
20190318000399_7810,missing_explicit_survival_coupon
20190418000025_21336,payment_lag_not_identifiable_from_maturity
20190425000118_21404,extra_formula_or_level_PMT_1_FRML
20190429000266_21465,missing_explicit_survival_coupon
20190507000236_21535,iv_missing_series
20190510000394_4294,unsupported_ki_window
20190521000375_8071,missing_explicit_survival_coupon
20190529000290_21738,payment_lag_not_identifiable_from_maturity
20190530000021_21733,extra_formula_or_level_PMT_1_FRML
20190530000097_21776,missing_explicit_survival_coupon
20190531000925_1754,payment_lag_not_identifiable_from_maturity
20190605000012_21810,extra_formula_or_level_PMT_1_FRML
20190607000065_21840,missing_explicit_survival_coupon
20190610000452_4317,unsupported_ki_window
20190613000087_21901,payment_lag_not_identifiable_from_maturity
20190617000212_4322,unsupported_ki_window
20190617000212_4323,unsupported_ki_window
20190618000005_21916,missing_explicit_survival_coupon
20190627000117_22027,missing_explicit_survival_coupon
20190627000145_22021,missing_explicit_survival_coupon
20190702000220_8115,iv_missing_series
20190711000046_22137,extra_formula_or_level_PMT_1_FRML
20190716000220_8135,iv_missing_series
20190718000098_22202,payment_lag_not_identifiable_from_maturity
20190718000113_22215,missing_explicit_survival_coupon
20190718000113_22216,iv_missing_series
20190723000138_8141,iv_missing_series
20190725000020_22253,extra_formula_or_level_PMT_1_FRML
20190725000078_22270,missing_explicit_survival_coupon
20190729000047_1763,payment_lag_not_identifiable_from_maturity
20190729000130_8151,iv_missing_series
20190729000130_8152,iv_missing_series
20190730000021_22287,missing_explicit_survival_coupon
20190730000021_22288,missing_explicit_survival_coupon
20190730000081_22297,payment_lag_not_identifiable_from_maturity
20190730000081_22298,missing_explicit_survival_coupon
20190730000081_22301,iv_missing_series
20190806000082_22342,missing_explicit_survival_coupon
20190806000096_22329,payment_lag_not_identifiable_from_maturity
20190806000096_22331,missing_explicit_survival_coupon
20190821000189_22385,missing_explicit_survival_coupon
20190821000189_22387,missing_explicit_survival_coupon
20190821000189_22388,iv_missing_series
20190821000189_22389,payment_lag_not_identifiable_from_maturity
20190822000306_957,iv_missing_series
20190826000064_22427,payment_lag_not_identifiable_from_maturity
20190829000052_22457,missing_explicit_survival_coupon
20190829000052_22459,iv_missing_series
20190909000832_4378,unsupported_ki_window
20190910000075_22527,extra_formula_or_level_PMT_1_FRML
20190919000025_22595,payment_lag_not_identifiable_from_maturity
20190919000110_22596,payment_lag_not_identifiable_from_maturity
20190919000110_22597,missing_explicit_survival_coupon
20190927000158_22692,missing_explicit_survival_coupon
20191002000037_22707,payment_lag_not_identifiable_from_maturity
20191002000113_22718,payment_lag_not_identifiable_from_maturity
20191004000019_22748,payment_lag_not_identifiable_from_maturity
20191007000033_22756,extra_formula_or_level_PMT_1_FRML
20191007000033_22758,iv_missing_series
20191007000033_22759,missing_explicit_survival_coupon
