variant,structure,monthly,change,n,mean,median,min,max,mean_paired_SE
A,LIZARD KI,False,survival_coupon,1614,75.7614052263086,68.56453077893701,0.0,257.0021021595598,1.6211467134441606
A,LIZARD KI,False,schedule_and_monthly,1614,18.412723594725982,3.90832241114612,-6.29968569468298,438.07466039409917,2.093705010435525
A,LIZARD no-KI,False,survival_coupon,8627,0.0,0.0,0.0,0.0,0.0
A,LIZARD no-KI,False,schedule_and_monthly,8627,10.473690942961449,2.4812026614782345,-62.72510273338281,545.452932151916,1.6082599746355748
A,LIZARD no-KI,True,survival_coupon,120,0.0,0.0,0.0,0.0,0.0
A,LIZARD no-KI,True,schedule_and_monthly,120,52.194376300432396,44.10472917445445,-37.87382090633547,260.9176059725685,2.5676209991073145
A,STEP KI,False,survival_coupon,14086,102.84755993049012,82.50971750195325,0.0,547.282798964381,1.9322207631540231
A,STEP KI,False,schedule_and_monthly,14086,4.820353493957061,2.6485562896063817,-621.9682403499964,511.56081292467866,2.0808498947452363
A,STEP KI,True,survival_coupon,2,75.17851108440762,75.17851108440762,0.0,150.35702216881523,1.1742486514409125
A,STEP KI,True,schedule_and_monthly,2,100.02630465048202,100.02630465048202,-106.52942669465472,306.58203599561875,4.038759576935042
A,STEP no-KI,False,survival_coupon,15222,0.0,0.0,0.0,0.0,0.0
A,STEP no-KI,False,schedule_and_monthly,15222,6.068024311451353,2.8022384123217945,-2118.1729460189954,503.89068467054324,2.249714198794548
A,STEP no-KI,True,survival_coupon,4432,0.0,0.0,0.0,0.0,0.0
A,STEP no-KI,True,schedule_and_monthly,4432,74.49568604593489,62.45339663834969,-217.57455004633033,810.7441676210294,2.6079225283751946
B,LIZARD KI,False,survival_coupon,1614,106.08657079853475,99.70390428230166,0.0,314.8850340749323,1.9140655774361341
B,LIZARD KI,False,schedule_and_monthly,1614,22.98339614712872,6.076338657463486,-19.875685167151893,554.0293648343352,2.4971403402214674
B,LIZARD no-KI,False,survival_coupon,8627,0.0,0.0,0.0,0.0,0.0
B,LIZARD no-KI,False,schedule_and_monthly,8627,15.743197818666717,4.480044314063088,-77.20870348308911,676.1415781229014,1.9993991513236575
B,LIZARD no-KI,True,survival_coupon,120,0.0,0.0,0.0,0.0,0.0
B,LIZARD no-KI,True,schedule_and_monthly,120,63.58955582734924,43.26377332929017,-30.281320130341076,274.18517147084947,3.0094749948401662
B,STEP KI,False,survival_coupon,14086,146.93050520002413,121.10302779194711,0.0,827.4205155292152,2.30597073920485
B,STEP KI,False,schedule_and_monthly,14086,6.526995711249421,4.064140495805881,-669.1218256778775,570.9200721228407,2.5396156454855734
B,STEP KI,True,survival_coupon,2,91.49892735126619,91.49892735126619,0.0,182.99785470253238,1.2953912761615758
B,STEP KI,True,schedule_and_monthly,2,162.4457373573916,162.4457373573916,-64.5345760001142,389.4260507148974,4.409911908321417
B,STEP no-KI,False,survival_coupon,15222,0.0,0.0,0.0,0.0,0.0
B,STEP no-KI,False,schedule_and_monthly,15222,9.521486649770198,4.711941807237897,-2100.178464720576,569.868465426771,2.782826078105958
B,STEP no-KI,True,survival_coupon,4432,0.0,0.0,0.0,0.0,0.0
B,STEP no-KI,True,schedule_and_monthly,4432,112.429184705086,100.74757454878088,-253.13068944979454,843.8219470439573,3.2176305220899395
