payoff,model,variant,seed,n,R2,MAE,RMSE,MAPE
legacy,deeponet,A,0,19659,0.9141801659319504,44.57465619817895,78.23934527220895,0.45598740455282083
legacy,deeponet,A,1,19659,0.7084289529718046,72.0855298031436,144.2127207596235,0.7390202172608704
legacy,deeponet,A,2,19659,0.9219247305389118,42.525821313393365,74.62564849267415,0.4355497100085909
legacy,deeponet,A,3,19659,0.9288559966773664,39.561185670685184,71.23616350415305,0.4052992593150946
legacy,deeponet,A,4,19659,0.9302266605661645,39.44891518388525,70.54660636508176,0.40469430590968314
legacy,deeponet,B,0,19659,0.9587278583119704,44.42537814232667,69.66739249773433,0.46137984467398824
legacy,deeponet,B,1,19659,0.9438327241700092,51.15977728775624,81.27233426829396,0.5304151392406242
legacy,deeponet,B,2,19659,0.9563428385912792,47.49022896892009,71.65207972159229,0.4925521537511824
legacy,deeponet,B,3,19659,0.946422632198228,48.437356167658585,79.37646244827282,0.5029931429359746
legacy,deeponet,B,4,19659,0.9350733291640333,55.56909807212981,87.3801167313452,0.5756308335808239
legacy,xgb,A,0,19659,0.8831777659663027,58.05746534411719,91.28388723983952,0.5931428156595625
legacy,xgb,A,1,19659,0.8827938408208281,59.66141413601912,91.43376210403883,0.608953624645213
legacy,xgb,A,2,19659,0.8783175076552605,59.08910015260185,93.16341947278327,0.6036101007382525
legacy,xgb,A,3,19659,0.8902477504453785,57.22648345795819,88.4785685021644,0.5843741886519583
legacy,xgb,A,4,19659,0.874295942088597,60.06937048679994,94.69041524059833,0.6138704510971872
legacy,xgb,B,0,19659,0.8866887504908715,73.0253733455415,115.43501601588808,0.75860216160225
legacy,xgb,B,1,19659,0.8931325583038635,72.51190523933059,112.10468421887357,0.7526596516908935
legacy,xgb,B,2,19659,0.8827197454241872,74.75819579327535,117.43931332116837,0.7764565497027068
legacy,xgb,B,3,19659,0.8884519144211931,73.19820965461112,114.53338960471991,0.7595145387654365
legacy,xgb,B,4,19659,0.883176781548018,74.4496466961697,117.21026196804473,0.7733693955963249
corrected,deeponet,A,0,19659,0.9101956410535418,47.297921145531305,76.52773751207846,0.4807800746380432
corrected,deeponet,A,1,19659,0.834551532724016,64.34218536548146,103.87272844538398,0.6542677716336287
corrected,deeponet,A,2,19659,0.9027649370690399,46.05834772877562,79.63089834421636,0.4686616693835217
corrected,deeponet,A,3,19659,0.9075475593642996,48.36437218576734,77.64783580916264,0.4913938879496864
corrected,deeponet,A,4,19659,0.8524756727486116,62.11910394221476,98.08486231546529,0.6325781815971132
corrected,deeponet,B,0,19659,0.9203179462423569,63.89261082455873,93.84238080645233,0.6560978639890029
corrected,deeponet,B,1,19659,0.8998883793717853,70.83349880461876,105.18674200742717,0.7283848518991048
corrected,deeponet,B,2,19659,0.8981411584314607,69.41544359835189,106.1006694521734,0.7131738178953414
corrected,deeponet,B,3,19659,0.8907230956033152,71.25185383793682,109.89626935375489,0.7329794708245698
corrected,deeponet,B,4,19659,0.8995232400945667,68.90284480899334,105.37839235241721,0.7094106047986617
corrected,xgb,A,0,19659,0.8184158769167572,71.03873511368839,108.8200952982294,0.7221805565408599
corrected,xgb,A,1,19659,0.8178112856827269,72.22091852586601,109.0011050737451,0.7336866177122253
corrected,xgb,A,2,19659,0.8245834789132974,69.76501572816522,106.95606394657945,0.7087989959814334
corrected,xgb,A,3,19659,0.8308490879839255,69.16027993285518,105.02854213653592,0.7022709883624454
corrected,xgb,A,4,19659,0.8185540875456794,71.44972941655222,108.77867384424269,0.7260821266660024
corrected,xgb,B,0,19659,0.8432064674428095,88.08032771758482,131.63847129502375,0.9055336333276391
corrected,xgb,B,1,19659,0.848299836031204,86.19486518642861,129.48271075500372,0.886910128282282
corrected,xgb,B,2,19659,0.8320459926597215,89.36980623124268,136.2429200113916,0.9212063560136924
corrected,xgb,B,3,19659,0.8497726360891988,86.08204414263186,128.85262815179934,0.8858688395215306
corrected,xgb,B,4,19659,0.8391875061424426,88.24728183529173,133.31488773089777,0.9085197262364592
