train_payoff,model,variant,seed,monthly,n,MAE,RMSE,MAPE
legacy,deeponet,A,0,False,17433,76.90103727361961,122.03614825206033,0.7762938278844026
legacy,deeponet,A,0,True,2226,95.09963749650872,128.93006479294215,0.9796627462874012
legacy,deeponet,A,1,False,17433,93.08204234602786,155.77948473367564,0.9416540989031497
legacy,deeponet,A,1,True,2226,91.18686274533349,138.43800203164255,0.9373715525992508
legacy,deeponet,A,2,False,17433,73.54785653204976,121.890931845229,0.7414319498704252
legacy,deeponet,A,2,True,2226,86.14048047281591,118.62618617758628,0.8867380771683727
legacy,deeponet,A,3,False,17433,73.48870096704317,120.45748110460977,0.7424251304667168
legacy,deeponet,A,3,True,2226,95.02552625917507,131.9971690871428,0.9804551433318561
legacy,deeponet,A,4,False,17433,71.21500153559884,113.64709140467303,0.7182526489211386
legacy,deeponet,A,4,True,2226,94.17052734875432,124.41493722036209,0.9672728315213238
legacy,deeponet,B,0,False,17433,92.69683023001653,141.97136494575676,0.9422170208723771
legacy,deeponet,B,0,True,2226,154.50766381832543,196.63513419050935,1.6145795177155455
legacy,deeponet,B,1,False,17433,94.47337682486307,142.57653612692238,0.9591145781174308
legacy,deeponet,B,1,True,2226,121.68869465371017,154.98691790370668,1.2707235010658762
legacy,deeponet,B,2,False,17433,95.13806585612842,144.7326436026987,0.9646836258518903
legacy,deeponet,B,2,True,2226,139.87198574239832,177.6094961979712,1.45957069644766
legacy,deeponet,B,3,False,17433,94.78435263747137,144.60346851006432,0.9632631813870524
legacy,deeponet,B,3,True,2226,137.82263427850776,173.5377170265029,1.4399538283084008
legacy,deeponet,B,4,False,17433,105.23995679488304,153.75868727957848,1.0717808029966645
legacy,deeponet,B,4,True,2226,144.80251871788604,188.2664675730859,1.5164942812549582
legacy,xgb,A,0,False,17433,93.72232719362806,142.81811240269062,0.947286200856384
legacy,xgb,A,0,True,2226,98.4450670272982,144.34248642801742,1.011567300657114
legacy,xgb,A,1,False,17433,95.67164307824635,142.8663723833221,0.9667400033699175
legacy,xgb,A,1,True,2226,102.4380007289159,144.5021781355379,1.051475433335951
legacy,xgb,A,2,False,17433,94.83351773426935,144.16499697124615,0.9585108813846307
legacy,xgb,A,2,True,2226,103.394478268208,148.72350909999656,1.061878180800406
legacy,xgb,A,3,False,17433,92.58075250471617,139.81646016684954,0.9352691130721374
legacy,xgb,A,3,True,2226,99.88126433621073,143.03742496436624,1.0244295986816552
legacy,xgb,A,4,False,17433,95.27438782638517,145.3677151435815,0.9633904692861527
legacy,xgb,A,4,True,2226,105.05095573239123,151.97122046162173,1.080104842056787
legacy,xgb,B,0,False,17433,129.59450634267805,192.66783533358077,1.3209902727211444
legacy,xgb,B,0,True,2226,157.3606061308711,203.54346327380864,1.6361669986217255
legacy,xgb,B,1,False,17433,129.09095637504817,189.7145568692353,1.3148360132484473
legacy,xgb,B,1,True,2226,157.77908405482253,201.51063913783423,1.6387454772633376
legacy,xgb,B,2,False,17433,131.26265883339227,194.61713786980695,1.3383698813169196
legacy,xgb,B,2,True,2226,162.19331064251833,209.75158206913784,1.688316969733997
legacy,xgb,B,3,False,17433,129.56381208078687,191.1740536869637,1.3193953726282552
legacy,xgb,B,3,True,2226,156.66785915881061,203.20326045721822,1.6267763593931273
legacy,xgb,B,4,False,17433,131.08214556315764,195.00501448285556,1.3363510963907417
legacy,xgb,B,4,True,2226,160.1340455021727,208.06717316326464,1.6661694557869398
corrected,deeponet,A,0,False,17433,45.195139849336,75.13427520407112,0.4588638685914148
corrected,deeponet,A,0,True,2226,63.76592966822016,86.66933783065308,0.6524176448827911
corrected,deeponet,A,1,False,17433,63.672460646374255,104.66004183432104,0.647012911816192
corrected,deeponet,A,1,True,2226,69.58715241479496,97.48721473083515,0.7110844000803509
corrected,deeponet,A,2,False,17433,43.959345671540795,78.32856422852564,0.446424584559014
corrected,deeponet,A,2,True,2226,62.49677009506859,89.1748470127342,0.6428123182513805
corrected,deeponet,A,3,False,17433,46.531684125474015,75.64315518654736,0.47213264227332224
corrected,deeponet,A,3,True,2226,62.71713755935092,91.84669522155617,0.6422390545536343
corrected,deeponet,A,4,False,17433,61.75529083616272,98.66090755683945,0.6284885602906523
corrected,deeponet,A,4,True,2226,64.96834617831878,93.45082829616312,0.6646064660928481
corrected,deeponet,B,0,False,17433,60.355482026099196,89.82527256308485,0.6190502144273169
corrected,deeponet,B,0,True,2226,91.5937498495753,120.76669735281217,0.9462377600828414
corrected,deeponet,B,1,False,17433,66.10788005050551,99.22767282439032,0.6784068074887772
corrected,deeponet,B,1,True,2226,107.84233220646176,143.54091165238813,1.1197895243175044
corrected,deeponet,B,2,False,17433,67.61347744163434,104.862334184237,0.6937300035184174
corrected,deeponet,B,2,True,2226,83.52757286367807,115.33982360814066,0.8654484274294484
corrected,deeponet,B,3,False,17433,67.23969617704543,105.58074487582037,0.6901906993142432
corrected,deeponet,B,3,True,2226,102.67319305871568,139.13913640570564,1.068081117527393
corrected,deeponet,B,4,False,17433,67.05704946577866,102.99066688701222,0.6893764689052725
corrected,deeponet,B,4,True,2226,83.35826528928439,122.47862656594947,0.8663087540994955
corrected,xgb,A,0,False,17433,69.90315346460818,106.42846821264789,0.7095847691961994
corrected,xgb,A,0,True,2226,79.93207959126185,125.9898534123629,0.820824881097997
corrected,xgb,A,1,False,17433,71.17696076813174,106.89366840974293,0.722107969568034
corrected,xgb,A,1,True,2226,80.3967131000541,124.27577891884015,0.8243652350320272
corrected,xgb,A,2,False,17433,68.70883853600733,104.88318101190694,0.697063567096544
corrected,xgb,A,2,True,2226,78.0365054122978,121.97773516160717,0.8007054316161426
corrected,xgb,A,3,False,17433,68.17028359941584,102.97417066562446,0.6914008190389997
corrected,xgb,A,3,True,2226,76.91348715731877,119.9063190068941,0.7874012652625557
corrected,xgb,A,4,False,17433,70.32634601576798,106.50015925212816,0.7136350521270379
corrected,xgb,A,4,True,2226,80.2475475749891,125.19701599896544,0.8235618478559491
corrected,xgb,B,0,False,17433,84.15721395760991,127.0636776011995,0.8641482551762201
corrected,xgb,B,0,True,2226,118.80434037110227,163.08701439383,1.2296447942815898
corrected,xgb,B,1,False,17433,82.09701279678951,124.56047531925572,0.8436084138254908
corrected,xgb,B,1,True,2226,118.28734969396106,162.9686823607667,1.226029145002838
corrected,xgb,B,2,False,17433,85.5821712826177,132.0809055110114,0.8809152004668792
corrected,xgb,B,2,True,2226,119.03281209719333,165.251728409265,1.236748075364319
corrected,xgb,B,3,False,17433,82.4633259809039,124.26146662093328,0.8474543270105396
corrected,xgb,B,3,True,2226,114.42216853704436,160.32443952142773,1.18671352559842
corrected,xgb,B,4,False,17433,84.13966665805519,128.4032643894786,0.865065878017687
corrected,xgb,B,4,True,2226,120.4162230730515,166.8531925617255,1.2488301736493763
