item,field,fresh,cached
KR6MD0005QG9,q_1,0.024318573527674796,0.01696018874645233
KR6MD0005R57,q_1,0.024318573527674796,0.01696018874645233
KR6KW0002WH6,q_1,0.024318573527674796,0.01696018874645233
KR6KW0002XC5,q_1,0.024318573527674796,0.01696018874645233
KR6KW0003YG2,q_1,0.011027742952274575,0.009370741434395313
KR6KW0003ZC8,q_1,0.011027742952274575,0.009370741434395313
KR6KW0003ZB0,q_1,0.04125620028308472,0.029828837141394615
KR6MD0006SL3,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003H50,q_1,0.05262006713039401,0.04438956826925278
KR6SY0003HL6,q_1,0.05262006713039401,0.04438956826925278
KR6SY0003JA5,q_1,0.011027742952274575,0.009370741434395313
KR6MD0006VE2,q_1,0.011027742952274575,0.009370741434395313
KR6KW0004062,q_1,0.011027742952274575,0.009370741434395313
KR6KW0004070,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003JV1,q_1,0.05262006713039401,0.04438956826925278
KR6KW0004138,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003K97,q_1,0.05262006713039401,0.04438956826925278
KR6KW0004120,q_1,0.011027742952274575,0.009370741434395313
KR6MD0006WC4,q_1,0.011027742952274575,0.009370741434395313
KR6KW0004237,q_1,0.011027742952274575,0.009370741434395313
KR6KW0004229,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003KL0,q_1,0.011027742952274575,0.009370741434395313
KR6MD0006YA4,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003KX5,q_1,0.05262006713039401,0.04438956826925278
KR6KW00042W8,q_1,0.011027742952274575,0.009370741434395313
KR6KW00042V0,q_1,0.011027742952274575,0.009370741434395313
KR6MD0006Z72,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003LF0,q_1,0.011027742952274575,0.009370741434395313
KR6KW00043M7,q_1,0.011027742952274575,0.009370741434395313
KR6KW00043N5,q_1,0.011027742952274575,0.009370741434395313
KR6MD0006ZW5,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003LT1,q_1,0.05262006713039401,0.04438956826925278
KR6MD00070N9,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003N03,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003NH2,q_1,0.011027742952274575,0.009370741434395313
KR6SS0006XW5,q_1,0.05262006713039401,0.04438956826925278
KR6KW00044G7,q_1,0.011027742952274575,0.009370741434395313
KR6KW00044H5,q_1,0.011027742952274575,0.009370741434395313
KR6SY0003PK1,q_1,0.0111752535125041,0.009908628650009632
KR6KW0004583,q_1,0.0111752535125041,0.009908628650009632
KR6KW0004591,q_1,0.0111752535125041,0.009908628650009632
KR6SY0003Q34,q_1,0.0111752535125041,0.009908628650009632
KR6MD00072C8,q_1,0.0111752535125041,0.009908628650009632
KR6KW00046C1,q_1,0.0111752535125041,0.009908628650009632
KR6KW00046D9,q_1,0.0111752535125041,0.009908628650009632
KR6MD00073D4,q_1,0.0111752535125041,0.009908628650009632
KR6KW00047A3,q_1,0.0111752535125041,0.009908628650009632
KR6KW00047B1,q_1,0.0111752535125041,0.009908628650009632
KR6KW00048C7,q_1,0.0111752535125041,0.009908628650009632
KR6SY0003QK9,q_1,0.0111752535125041,0.009908628650009632
KR6KW00048D5,q_1,0.0111752535125041,0.009908628650009632
KR6MD0007566,q_1,0.0111752535125041,0.009908628650009632
KR6KW00049B7,q_1,0.0111752535125041,0.009908628650009632
KR6KW00049C5,q_1,0.0111752535125041,0.009908628650009632
KR6SY0003R90,q_1,0.0111752535125041,0.009908628650009632
KR6MD00077G8,q_1,0.0111752535125041,0.009908628650009632
KR6KW0004BB9,q_1,0.0111752535125041,0.009908628650009632
KR6SY0003RV4,q_1,0.0111752535125041,0.009908628650009632
KR6KW0004C96,q_1,0.0111752535125041,0.009908628650009632
KR6SY0003SB4,q_1,0.0111752535125041,0.009908628650009632
KR6MD0007905,q_1,0.0111752535125041,0.009908628650009632
KR6KW0004D46,q_1,0.0111752535125041,0.009908628650009632
KR6KW0004EA5,q_1,0.0111752535125041,0.009908628650009632
KR6SY0003VS2,q_1,0.011351977716562517,0.00969222653657198
KR6MD0007BP8,q_1,0.011351977716562517,0.00969222653657198
KR6KW0004FB0,q_1,0.011351977716562517,0.00969222653657198
KR6SY0003WA8,q_1,0.011351977716562517,0.00969222653657198
KR6KW0004GA0,q_1,0.011351977716562517,0.00969222653657198
KR6KW0004H83,q_1,0.011351977716562517,0.00969222653657198
KR6MD0007E84,q_1,0.011351977716562517,0.00969222653657198
KR6KW0004JK3,q_1,0.011351977716562517,0.00969222653657198
KR6SY0003XT6,q_1,0.011351977716562517,0.00969222653657198
KR6KW0004K05,q_1,0.011351977716562517,0.00969222653657198
KR6MD0007FW5,q_1,0.011351977716562517,0.00969222653657198
KR6SY0003Z66,q_1,0.011351977716562517,0.00969222653657198
