model,variant,seed,rows,max_reload_error,n,R2,MAE,RMSE,MAPE
deeponet,A,0,23486,7.943115232222908e-08,23486,0.9447162979888117,37.8748160180533,66.74670246814338,0.3885382297927014
deeponet,A,1,23486,1.3200683590675055e-07,23486,0.9064566521448397,50.39894138209997,86.82358429123443,0.5184355623919489
deeponet,A,2,23486,1.5780029305467735e-07,23486,0.9574006119019723,32.866413820999746,58.59127335759027,0.33704891434796397
deeponet,A,3,23486,1.685272217333278e-07,23486,0.9366816989217592,43.63837590053649,71.43250543961805,0.4484218722861426
deeponet,A,4,23486,1.5749511717011444e-07,23486,0.9637616428703348,32.25809591245849,54.0400206698308,0.33214668260527497
xgb,A,0,23486,4.8774719152433477e-08,23486,0.9055716464601673,57.293633015413434,87.23333270955413,0.5862646810442889
xgb,A,1,23486,5.0102233917215244e-08,23486,0.9025386971300657,58.35371300349145,88.62318674929064,0.5966580198208874
xgb,A,2,23486,4.82208251106897e-08,23486,0.9038044215067681,57.5457150472622,88.04583397794418,0.5887261797501855
xgb,A,3,23486,5.9463501012047004e-08,23486,0.9037006792373957,58.876926471089156,88.09329776698482,0.6019814857472199
xgb,A,4,23486,5.6594848585334034e-08,23486,0.9020608643894542,57.51500371710806,88.84017175296735,0.5886046036994659
deeponet,B,0,23486,1.1740875249799387e-07,23486,0.9553153888447442,47.227736749552925,76.31119438025104,0.49156145236973214
deeponet,B,1,23486,1.2189483644675647e-07,23486,0.9239140777753017,61.975072664566135,99.57754477057256,0.6469836166035107
deeponet,B,2,23486,1.2880706790063812e-07,23486,0.9419881504785309,59.64553056714639,86.9496053791033,0.6177663799329618
deeponet,B,3,23486,8.887405400503923e-08,23486,0.952022731814223,51.894736383377335,79.0727817295447,0.5391768652323498
deeponet,B,4,23486,1.7513275141212148e-07,23486,0.9495996443299068,46.605047479349395,81.04496891580996,0.4861258964095433
xgb,B,0,23486,4.944152842689675e-08,23486,0.9159833081046198,67.64694183769055,104.63863077204314,0.7029076615201443
xgb,B,1,23486,4.952697763016545e-08,23486,0.9146606017196499,67.72523272587925,105.45909681931526,0.7032950772426303
xgb,B,2,23486,5.844116213182815e-08,23486,0.9124814659590863,69.24740869028358,106.7970549417673,0.718989698420434
xgb,B,3,23486,4.9221801745602534e-08,23486,0.9154573929904197,68.28965424934003,104.96562048049474,0.7091608986426611
xgb,B,4,23486,4.9934387291727944e-08,23486,0.9126993466322324,68.56442699480542,106.66403446329393,0.7125750968216058
