item,date,NS_3Y,Bootstrap_3Y,IRS_3Y,CD91
KR6523318519,2015-01-05,2.793184113775024,2.1204890306812567,2.125,2.13
KR6703301525,2015-02-02,2.7218952193206145,1.9250622365328132,1.9300000000000002,2.13
KR6533375533,2015-03-06,2.587913779133308,1.9405679278279087,1.9449999999999998,2.12
KR65333C0537,2015-03-27,2.587913779133308,1.736481790855559,1.74,2.12
KR65033BZ548,2015-04-20,2.262491667831926,1.7170092384587026,1.7200000000000002,1.95
KR6703373557,2015-05-12,2.2887557276970916,1.8652308991450923,1.8675000000000002,1.81
KR6593314562,2015-06-08,2.497115813505415,1.7676624789622644,1.77,1.8
KR65733CW563,2015-06-26,2.497115813505415,1.8183094381627507,1.8199999999999998,1.8
KR6533358570,2015-07-17,2.618793529305146,1.7682825628044039,1.77,1.7
KR6703337586,2015-08-07,2.4811731420225556,1.738057521984165,1.74,1.65
KR65733C3586,2015-08-28,2.4811731420225556,1.662771715388903,1.665,1.65
KR6593387592,2015-09-21,2.3023296584252035,1.6078389671839135,1.6099999999999999,1.64
KR65733C45A2,2015-10-28,2.1633537254976596,1.5925232957256081,1.5950000000000002,1.6
KR65533AL5B9,2015-11-30,2.229542678805461,1.7823265651127307,1.7850000000000001,1.58
KR65733EL5C1,2015-12-31,2.6147757797762976,1.6397402758350659,1.6425,1.59
KR6703307621,2016-02-01,2.3075636837253706,1.529790636715984,1.5325,1.67
KR6533374635,2016-03-08,2.271212792289279,1.4747768801561374,1.4775,1.64
KR6503327647,2016-04-11,2.1624924496043976,1.4296909259526096,1.4325,1.63
20160428000382_15470,2016-05-04,2.0148999162965344,1.4199087969274262,1.4224999999999999,1.61
KR6503311666,2016-06-03,2.0979238693235,1.4048733808065177,1.4075,1.58
KR6593385661,2016-06-30,2.0979238693235,1.1827559176047406,1.185,1.58
KR6513399677,2016-07-28,1.895260883667132,1.1928386532081017,1.1949999999999998,1.43
KR6523369686,2016-08-30,1.8545877650535159,1.24282888136847,1.245,1.36
KR6503396691,2016-09-26,1.802331364527008,1.2453726723545355,1.2475,1.35
KR65333C66A7,2016-10-18,1.9190609871182363,1.3280478006190282,1.33,1.34
KR65333A06B5,2016-11-08,2.3770220901126136,1.3327873689167364,1.335,1.35
KR65333506C3,2016-12-06,3.0441690985179335,1.577780152811602,1.58,1.42
KR6573324714,2017-01-04,2.761059948743413,1.5402846888209254,1.5425,1.54
KR65333AZ718,2017-01-26,2.761059948743413,1.5628298471357918,1.565,1.54
KR65233AD725,2017-02-16,2.773391455827285,1.6179703471960034,1.62,1.5
KR6703303737,2017-03-06,2.747846132334997,1.6504890621845296,1.6524999999999999,1.49
