   payoff       cohort                            model     seed    scope axis  n_rows  n_families  price_mae  price_rmse  price_r2  delta_mae  delta_rmse  delta_bias  within_1  within_5  within_10  resolved_n  resolved_sign
reference monthly_test              affine_coupon_delta ensemble schedule  ALL    1408         128 249.560536  336.187185  0.444304 254.599391  342.062476 -104.171273  0.000710  0.005682   0.012074      1263.0       0.567696
reference monthly_test              affine_coupon_delta ensemble    terms  ALL    4548         128  32.010431   41.121654  0.992082   9.171429   18.450717   -0.087904  0.233937  0.618100   0.778733      3381.0       0.901508
reference monthly_test                  augmented_delta ensemble schedule  ALL    1408         128 335.272395  427.617585  0.100945 333.911764  431.797772  -74.013947  0.002131  0.022017   0.040483      1263.0       0.588282
reference monthly_test                  augmented_delta ensemble    terms  ALL    4548         128  65.114050   96.061522  0.956789  10.839056   22.502252   -0.365516  0.216742  0.564027   0.730769      3381.0       0.894706
reference monthly_test                  augmented_price ensemble schedule  ALL    1408         128 276.637139  353.942468  0.384057 278.748252  356.127300  -56.914693  0.000710  0.014915   0.025568      1263.0       0.554236
reference monthly_test                  augmented_price ensemble    terms  ALL    4548         128  69.646554   93.974980  0.958646  14.613343   25.047347   -1.107071  0.094344  0.414706   0.588462      3381.0       0.872523
reference monthly_test prior_frozen_affine_coupon_delta ensemble schedule  ALL    1408         128 238.247986  303.992296  0.545640 187.302992  261.533818 -100.681518  0.004972  0.020597   0.089489      1263.0       0.553444
reference monthly_test prior_frozen_affine_coupon_delta ensemble    terms  ALL    4548         128 175.943337  249.684003  0.708074  17.126359   30.087325   -0.245153  0.089819  0.393439   0.566290      3381.0       0.857439
reference regular_test              affine_coupon_delta ensemble schedule  ALL    1267         128 132.631661  224.884775  0.791563 114.006926  212.772299  -20.506705  0.026046  0.113654   0.203631      1164.0       0.555842
reference regular_test              affine_coupon_delta ensemble    terms  ALL    3712         128  48.357912   66.627339  0.980142   7.364595   13.869981   -0.708032  0.238839  0.627790   0.786830      3305.0       0.947050
reference regular_test                  augmented_delta ensemble schedule  ALL    1267         128 129.536224  215.433543  0.808715 108.732348  205.169644  -21.742265  0.032360  0.149171   0.234412      1164.0       0.597938
reference regular_test                  augmented_delta ensemble    terms  ALL    3712         128  50.838196   73.287305  0.975974   6.969692   13.202746   -0.774719  0.255580  0.645089   0.803571      3305.0       0.944629
reference regular_test                  augmented_price ensemble schedule  ALL    1267         128 124.761523  197.151810  0.839802  97.387514  180.480878  -19.723477  0.037096  0.149171   0.236780      1164.0       0.639175
reference regular_test                  augmented_price ensemble    terms  ALL    3712         128  57.469549   79.734143  0.971561   8.810809   17.561634   -1.250417  0.213728  0.595424   0.760045      3305.0       0.931014
reference regular_test prior_frozen_affine_coupon_delta ensemble schedule  ALL    1267         128 187.464808  259.746203  0.721930 122.188708  197.845783  -24.563237  0.017364  0.090766   0.173639      1164.0       0.598797
reference regular_test prior_frozen_affine_coupon_delta ensemble    terms  ALL    3712         128 125.558982  176.136325  0.861219  11.284626   21.727836   -0.336164  0.182478  0.530971   0.698103      3305.0       0.933434
 detailed monthly_test              affine_coupon_delta ensemble schedule  ALL    1408         128 187.284110  247.403858  0.660409 173.757776  226.099795  -50.400443  0.007812  0.027699   0.051136      1351.0       0.571429
 detailed monthly_test              affine_coupon_delta ensemble    terms  ALL    4548         128  61.351149   79.830836  0.967359   8.485318   14.703340    0.031976  0.205430  0.561538   0.732353      4223.0       0.979162
 detailed monthly_test                  augmented_delta ensemble schedule  ALL    1408         128 203.145075  256.051285  0.636255 195.323956  243.226884  -21.778391  0.000000  0.015625   0.032670      1351.0       0.547002
