payoff,monthly,axis,offset,replicate,delta_krw
detailed,False,base,0.0,0,0.0
detailed,False,base,0.0,1,0.0
detailed,False,base,0.0,2,0.0
detailed,False,coupon_regular,-0.01,0,-55.53154000773882
detailed,False,coupon_regular,-0.01,1,-55.58122794044966
detailed,False,coupon_regular,-0.01,2,-55.538340955702154
detailed,False,coupon_regular,-0.005,0,-27.765770003869477
detailed,False,coupon_regular,-0.005,1,-27.790613970224893
detailed,False,coupon_regular,-0.005,2,-27.76917047785114
detailed,False,coupon_regular,-0.0025,0,-13.882885001934843
detailed,False,coupon_regular,-0.0025,1,-13.895306985112551
detailed,False,coupon_regular,-0.0025,2,-13.884585238925675
detailed,False,coupon_regular,-0.001,0,-5.5531540007740245
detailed,False,coupon_regular,-0.001,1,-5.558122794045107
detailed,False,coupon_regular,-0.001,2,-5.553834095570356
detailed,False,coupon_regular,0.001,0,5.553154000773981
detailed,False,coupon_regular,0.001,1,5.558122794045065
detailed,False,coupon_regular,0.001,2,5.553834095570313
detailed,False,coupon_regular,0.0025,0,13.882885001934769
detailed,False,coupon_regular,0.0025,1,13.895306985112478
detailed,False,coupon_regular,0.0025,2,13.8845852389256
detailed,False,coupon_regular,0.005,0,27.765770003869424
detailed,False,coupon_regular,0.005,1,27.79061397022484
detailed,False,coupon_regular,0.005,2,27.769170477851084
detailed,False,coupon_regular,0.01,0,55.53154000773883
detailed,False,coupon_regular,0.01,1,55.58122794044967
detailed,False,coupon_regular,0.01,2,55.53834095570216
detailed,False,first_strike,-0.05,0,24.929528968473896
detailed,False,first_strike,-0.05,1,25.642987799177213
detailed,False,first_strike,-0.05,2,25.795414793156997
detailed,False,first_strike,-0.025,0,10.036700685531256
detailed,False,first_strike,-0.025,1,10.555681533339998
detailed,False,first_strike,-0.025,2,10.279652128673337
detailed,False,first_strike,-0.01,0,3.337159006195349
detailed,False,first_strike,-0.01,1,3.676330126404998
detailed,False,first_strike,-0.01,2,3.6280176911209896
detailed,False,first_strike,-0.005,0,1.5529417133331451
detailed,False,first_strike,-0.005,1,1.8466370853602705
detailed,False,first_strike,-0.005,2,1.7073755246582583
detailed,False,first_strike,0.005,0,-1.525104779520143
detailed,False,first_strike,0.005,1,-1.576519258067067
detailed,False,first_strike,0.005,2,-1.5326362142250711
detailed,False,first_strike,0.01,0,-2.818847522520744
detailed,False,first_strike,0.01,1,-2.938883948928727
detailed,False,first_strike,0.01,2,-2.993283953165561
detailed,False,first_strike,0.025,0,-6.0169132967124055
detailed,False,first_strike,0.025,1,-5.9242080058143305
detailed,False,first_strike,0.025,2,-5.863606594917767
detailed,False,first_strike,0.05,0,-8.320133634559312
detailed,False,first_strike,0.05,1,-8.150644467700777
detailed,False,first_strike,0.05,2,-8.397135010688356
detailed,False,ki_barrier,-0.05,0,58.10780843293394
detailed,False,ki_barrier,-0.05,1,58.02340454738091
detailed,False,ki_barrier,-0.05,2,58.29748961040941
detailed,False,ki_barrier,-0.025,0,28.73712824176222
detailed,False,ki_barrier,-0.025,1,28.88382404928411
detailed,False,ki_barrier,-0.025,2,28.570144410817345
detailed,False,ki_barrier,-0.01,0,11.53818537824636
