payoff,split,origin,monthly,structure,axis,offset,scope,n_families,mean_delta,median_delta,min_delta,max_delta,mean_delta_se,positive,negative
detailed,stress,previous_canonical,False,LIZARD KI,base,0.0,terms,1,0.0,0.0,0.0,0.0,0.0,0,0
detailed,stress,previous_canonical,False,LIZARD KI,coupon_regular,-0.01,terms,1,-55.434382180827406,-55.434382180827406,-55.434382180827406,-55.434382180827406,0.1534937733547031,0,1
detailed,stress,previous_canonical,False,LIZARD KI,coupon_regular,-0.005,terms,1,-27.71719109041461,-27.71719109041461,-27.71719109041461,-27.71719109041461,0.0767468866773512,0,1
detailed,stress,previous_canonical,False,LIZARD KI,coupon_regular,-0.0025,terms,1,-13.858595545207322,-13.858595545207322,-13.858595545207322,-13.858595545207322,0.0383734433386759,0,1
detailed,stress,previous_canonical,False,LIZARD KI,coupon_regular,-0.001,terms,1,-5.543438218082034,-5.543438218082034,-5.543438218082034,-5.543438218082034,0.0153493773354701,0,1
detailed,stress,previous_canonical,False,LIZARD KI,coupon_regular,0.001,terms,1,5.543438218083331,5.543438218083331,5.543438218083331,5.543438218083331,0.0153493773354696,1,0
detailed,stress,previous_canonical,False,LIZARD KI,coupon_regular,0.0025,terms,1,13.858595545207198,13.858595545207198,13.858595545207198,13.858595545207198,0.0383734433386758,1,0
detailed,stress,previous_canonical,False,LIZARD KI,coupon_regular,0.005,terms,1,27.717191090412783,27.717191090412783,27.717191090412783,27.717191090412783,0.0767468866773518,1,0
detailed,stress,previous_canonical,False,LIZARD KI,coupon_regular,0.01,terms,1,55.43438218082722,55.43438218082722,55.43438218082722,55.43438218082722,0.1534937733547027,1,0
detailed,stress,previous_canonical,False,LIZARD KI,first_strike,-0.05,terms,1,-10.268595018622118,-10.268595018622118,-10.268595018622118,-10.268595018622118,0.7505421307738315,0,1
detailed,stress,previous_canonical,False,LIZARD KI,first_strike,-0.025,terms,1,-5.978671306141024,-5.978671306141024,-5.978671306141024,-5.978671306141024,0.5114266867624488,0,1
detailed,stress,previous_canonical,False,LIZARD KI,first_strike,-0.01,terms,1,-2.986437139620938,-2.986437139620938,-2.986437139620938,-2.986437139620938,0.2957319356371861,0,1
detailed,stress,previous_canonical,False,LIZARD KI,first_strike,-0.005,terms,1,-1.7869999756449,-1.7869999756449,-1.7869999756449,-1.7869999756449,0.1845709167245942,0,1
detailed,stress,previous_canonical,False,LIZARD KI,first_strike,0.005,terms,1,1.7307452811296635,1.7307452811296635,1.7307452811296635,1.7307452811296635,0.204600010954028,1,0
detailed,stress,previous_canonical,False,LIZARD KI,first_strike,0.01,terms,1,3.747741298724572,3.747741298724572,3.747741298724572,3.747741298724572,0.2712342267274764,1,0
detailed,stress,previous_canonical,False,LIZARD KI,first_strike,0.025,terms,1,9.888193212328757,9.888193212328757,9.888193212328757,9.888193212328757,0.4329039543866705,1,0
detailed,stress,previous_canonical,False,LIZARD KI,first_strike,0.05,terms,1,23.59114049726858,23.59114049726858,23.59114049726858,23.59114049726858,0.5795471151498228,1,0
detailed,stress,previous_canonical,False,LIZARD KI,ki_barrier,-0.05,terms,1,27.725000092885487,27.725000092885487,27.725000092885487,27.725000092885487,1.2044667786358991,1,0
detailed,stress,previous_canonical,False,LIZARD KI,ki_barrier,-0.025,terms,1,16.28507372985861,16.28507372985861,16.28507372985861,16.28507372985861,0.9154208904349218,1,0
detailed,stress,previous_canonical,False,LIZARD KI,ki_barrier,-0.01,terms,1,7.316885402663878,7.316885402663878,7.316885402663878,7.316885402663878,0.6106641205111586,1,0
detailed,stress,previous_canonical,False,LIZARD KI,ki_barrier,-0.005,terms,1,3.701877892163805,3.701877892163805,3.701877892163805,3.701877892163805,0.4339297355963104,1,0
detailed,stress,previous_canonical,False,LIZARD KI,ki_barrier,0.005,terms,1,-3.061151036803342,-3.061151036803342,-3.061151036803342,-3.061151036803342,0.3924165986675373,0,1
detailed,stress,previous_canonical,False,LIZARD KI,ki_barrier,0.01,terms,1,-6.83252302653576,-6.83252302653576,-6.83252302653576,-6.83252302653576,0.5844272523227529,0,1
detailed,stress,previous_canonical,False,LIZARD KI,ki_barrier,0.025,terms,1,-18.413264147040408,-18.413264147040408,-18.413264147040408,-18.413264147040408,0.9536213839180432,0,1
detailed,stress,previous_canonical,False,LIZARD KI,ki_barrier,0.05,terms,1,-37.7934863610458,-37.7934863610458,-37.7934863610458,-37.7934863610458,1.3512439697539465,0,1
detailed,stress,previous_canonical,False,LIZARD KI,last_strike,-0.05,terms,1,1.945454308426833,1.945454308426833,1.945454308426833,1.945454308426833,0.2933460537548127,1,0
detailed,stress,previous_canonical,False,LIZARD KI,last_strike,-0.025,terms,1,0.9935896816304136,0.9935896816304136,0.9935896816304136,0.9935896816304136,0.2071809829276999,1,0
detailed,stress,previous_canonical,False,LIZARD KI,last_strike,-0.01,terms,1,0.4256856756235447,0.4256856756235447,0.4256856756235447,0.4256856756235447,0.134610185632681,1,0
detailed,stress,previous_canonical,False,LIZARD KI,last_strike,-0.005,terms,1,0.2971728849741311,0.2971728849741311,0.2971728849741311,0.2971728849741311,0.1123183422129756,1,0
detailed,stress,previous_canonical,False,LIZARD KI,last_strike,0.005,terms,1,-0.2100324631742006,-0.2100324631742006,-0.2100324631742006,-0.2100324631742006,0.093927928501955,0,1
detailed,stress,previous_canonical,False,LIZARD KI,last_strike,0.01,terms,1,-0.4187671240096982,-0.4187671240096982,-0.4187671240096982,-0.4187671240096982,0.1324219003942944,0,1
detailed,stress,previous_canonical,False,LIZARD KI,last_strike,0.025,terms,1,-0.7046547483593637,-0.7046547483593637,-0.7046547483593637,-0.7046547483593637,0.170906562996886,0,1
detailed,stress,previous_canonical,False,LIZARD KI,last_strike,0.05,terms,1,-1.17843574599999,-1.17843574599999,-1.17843574599999,-1.17843574599999,0.218882897018793,0,1
detailed,stress,previous_canonical,False,LIZARD no-KI,base,0.0,terms,1,0.0,0.0,0.0,0.0,0.0,0,0
detailed,stress,previous_canonical,False,LIZARD no-KI,coupon_regular,-0.01,terms,1,-53.05044056262189,-53.05044056262189,-53.05044056262189,-53.05044056262189,0.1403354541400753,0,1
detailed,stress,previous_canonical,False,LIZARD no-KI,coupon_regular,-0.005,terms,1,-26.5252202813111,-26.5252202813111,-26.5252202813111,-26.5252202813111,0.070167727070038,0,1
detailed,stress,previous_canonical,False,LIZARD no-KI,coupon_regular,-0.0025,terms,1,-13.26261014065547,-13.26261014065547,-13.26261014065547,-13.26261014065547,0.035083863535019,0,1
