payoff,cohort,model,seed,scope,axis,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
reference,monthly_test,affine_coupon_delta,101,schedule,ALL,1408,128,225.73157909826065,299.54095461326295,0.5588484979466174,236.56293392263606,319.4266865071388,-148.42228903687356,0.0014204545454545455,0.009232954545454546,0.01775568181818182,1263.0,0.5542359461599367
reference,monthly_test,affine_coupon_delta,101,schedule,nobs_early,128,128,142.74510843052832,175.91978118740516,0.8529236481114757,195.97632506963296,221.9014665776854,-193.6933586378497,0.0078125,0.015625,0.03125,119.0,0.3949579831932773
reference,monthly_test,affine_coupon_delta,101,schedule,nobs_late,128,128,486.0740716406003,542.3476432773717,-0.7993375311171294,545.6296032964954,591.1977998590448,-545.6296032964954,0.0,0.0,0.0,125.0,0.488
reference,monthly_test,affine_coupon_delta,101,schedule,nobs_middle,128,128,492.2814449591486,526.2762305020973,-0.5835120345993745,551.8369766150439,581.0209017252682,-551.8369766150439,0.0,0.0,0.0,121.0,0.5537190082644629
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,1024,128,170.24334313132377,219.3505220029784,0.771942441551208,163.59367102097804,219.6665373108415,-42.685655107027536,0.0009765625,0.0107421875,0.0205078125,898.0,0.5846325167037862
reference,monthly_test,affine_coupon_delta,101,terms,ALL,4548,128,61.07641851491197,76.06899270881289,0.9729038916904396,10.054188183620997,20.72839821107546,-0.06570078049507899,0.2753393665158371,0.6002262443438914,0.7581447963800905,3381.0,0.8917480035492458
reference,monthly_test,affine_coupon_delta,101,terms,base,128,128,62.13843620169402,74.41933917082135,0.9731999593514753,,,,,,,,
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,1024,128,62.25305788014251,74.67638620114536,0.9732440267514879,4.041712287037322,6.191342474780039,-3.4430141871230266e-05,0.255859375,0.736328125,0.92578125,1024.0,1.0
reference,monthly_test,affine_coupon_delta,101,terms,first_strike,1024,128,63.43645911937899,82.6348430631029,0.9666679357407268,17.966730121479866,31.77897338294479,0.7767327654322949,0.1376953125,0.4130859375,0.576171875,993.0,0.6314199395770392
reference,monthly_test,affine_coupon_delta,101,terms,ki_barrier,344,43,43.001956002947395,53.860230630106436,0.9878588428869838,16.667207306525274,25.61553803898112,-3.448257646992687,0.05813953488372093,0.311046511627907,0.5436046511627907,343.0,1.0
reference,monthly_test,affine_coupon_delta,101,terms,last_strike,1024,128,62.49164226452648,78.59439636075422,0.9701497083720437,14.343062907166315,24.063512284758033,0.15178332464226219,0.1533203125,0.4306640625,0.6240234375,1021.0,1.0
reference,monthly_test,affine_coupon_delta,101,terms,monthly_barrier,1004,128,62.08331834721497,74.56394253597509,0.9731187552053102,1.4761464291834736,2.6526853850761767,-0.05474306672692774,0.6344621513944223,0.9243027888446215,0.9830677290836654,0.0,
reference,monthly_test,affine_coupon_delta,233,schedule,ALL,1408,128,298.9738965919521,387.06386911270744,0.2633849118545204,296.1079730408653,384.2175984076676,-105.01215682109192,0.0007102272727272727,0.002840909090909091,0.009232954545454546,1263.0,0.5613618368962787
reference,monthly_test,affine_coupon_delta,233,schedule,nobs_early,128,128,147.77746496933327,168.2130097741946,0.8655277536532432,141.37478372257345,160.14429265674474,-138.29587046102705,0.0,0.0,0.0078125,119.0,0.3949579831932773
reference,monthly_test,affine_coupon_delta,233,schedule,nobs_late,128,128,614.5805262797371,659.6169118983041,-1.6615871311027797,611.6283782496819,652.9435750176849,-611.6283782496819,0.0,0.0,0.0,125.0,0.488
reference,monthly_test,affine_coupon_delta,233,schedule,nobs_middle,128,128,580.7004837615339,608.0136917509211,-1.1135891749782147,577.748335731479,601.9945878310112,-577.748335731479,0.0,0.0,0.0,121.0,0.5537190082644629
reference,monthly_test,affine_coupon_delta,233,schedule,tenor_months,1024,128,243.20679843760863,319.16533529296333,0.5171652060590769,240.8045257182231,318.0950726163642,21.56735742627209,0.0009765625,0.00390625,0.01171875,898.0,0.5946547884187082
reference,monthly_test,affine_coupon_delta,233,terms,ALL,4548,128,29.49394189026477,41.49083808972118,0.9919388685420064,10.870236383259194,20.539423224947857,-0.23198250112688124,0.17669683257918553,0.5398190045248868,0.7298642533936651,3381.0,0.8893818396923987
reference,monthly_test,affine_coupon_delta,233,terms,base,128,128,23.827767781737123,34.90972269496821,0.9941026536811736,,,,,,,,
reference,monthly_test,affine_coupon_delta,233,terms,coupon_regular,1024,128,24.32013735026429,35.54140385595518,0.9939392925228359,4.058078375140515,6.671046522788934,8.061450595647779e-06,0.279296875,0.736328125,0.927734375,1024.0,1.0
reference,monthly_test,affine_coupon_delta,233,terms,first_strike,1024,128,36.76432072249682,49.01666406276817,0.988272017770476,19.96229173647991,33.67645881768828,0.7955722569635484,0.09375,0.353515625,0.51953125,993.0,0.6233635448136958
reference,monthly_test,affine_coupon_delta,233,terms,ki_barrier,344,43,41.29012028510183,56.0798785329346,0.9868375180005536,16.880755022962312,25.222134355626217,-2.535317214133665,0.07267441860465117,0.3081395348837209,0.5232558139534884,343.0,1.0
reference,monthly_test,affine_coupon_delta,233,terms,last_strike,1024,128,30.08839943507246,40.247012576729524,0.9921723263321965,14.145570644478235,20.20239527408718,-0.9117707574235586,0.0517578125,0.369140625,0.5859375,1021.0,1.0
reference,monthly_test,affine_coupon_delta,233,terms,monthly_barrier,1004,128,23.429966110323942,34.26776309707787,0.9943224213211863,3.1449619042445938,4.572686734556835,-0.034098131248200554,0.3197211155378486,0.7828685258964143,0.9601593625498008,0.0,
reference,monthly_test,affine_coupon_delta,47,schedule,ALL,1408,128,241.0951828888973,347.56140717077136,0.40606565859786403,243.9367425648726,350.89683882158056,-59.07937443051369,0.002840909090909091,0.009943181818181818,0.014914772727272728,1263.0,0.5859065716547902
reference,monthly_test,affine_coupon_delta,47,schedule,nobs_early,128,128,130.01962157847186,160.35140685615522,0.8778034214951277,132.23432742865043,170.6758398567663,-10.168855265240076,0.0078125,0.0078125,0.0234375,119.0,0.6470588235294118
reference,monthly_test,affine_coupon_delta,47,schedule,nobs_late,128,128,474.04991489135176,550.504279636717,-0.8538667838010159,493.74489623305874,576.070608921526,-493.74489623305874,0.0,0.0,0.0,125.0,0.488
reference,monthly_test,affine_coupon_delta,47,schedule,nobs_middle,128,128,469.26201938818383,518.8100177564315,-0.5389005833456888,488.9570007298911,543.4521910684014,-488.9570007298911,0.0,0.0,0.0,121.0,0.5537190082644629
reference,monthly_test,affine_coupon_delta,47,schedule,tenor_months,1024,128,197.33943198998287,302.25338691160186,0.5669784820256718,196.0459929777498,295.3994401005367,42.87470418656743,0.0029296875,0.0126953125,0.017578125,898.0,0.5957683741648107
reference,monthly_test,affine_coupon_delta,47,terms,ALL,4548,128,27.381945687185524,39.61611438069833,0.9926508799367417,7.525571154340695,15.614296444808014,0.03397140107884928,0.2690045248868778,0.6549773755656109,0.8063348416289593,3381.0,0.9476486246672582
reference,monthly_test,affine_coupon_delta,47,terms,base,128,128,24.141846353378213,36.502451814331366,0.9935522542048352,,,,,,,,
reference,monthly_test,affine_coupon_delta,47,terms,coupon_regular,1024,128,24.535240534181277,36.97938784943794,0.9934389461504624,3.804557638029413,5.919986933368072,3.986914331685978e-06,0.3154296875,0.76171875,0.94140625,1024.0,1.0
reference,monthly_test,affine_coupon_delta,47,terms,first_strike,1024,128,33.27777035277032,45.120151107239174,0.9900625058043856,16.0125720819467,27.914795323784222,1.7065692984646534,0.134765625,0.3896484375,0.599609375,993.0,0.8217522658610272
reference,monthly_test,affine_coupon_delta,47,terms,ki_barrier,344,43,37.23487110248709,48.90775790525529,0.9899889606320166,12.322896955130522,19.573716769640665,-3.2738187629007545,0.09302325581395349,0.4186046511627907,0.6511627906976745,343.0,1.0
reference,monthly_test,affine_coupon_delta,47,terms,last_strike,1024,128,25.310275053223762,36.81163035960414,0.993451595204764,6.868815266760066,10.14561784861057,-0.5076611611487652,0.15625,0.6005859375,0.748046875,1021.0,1.0
reference,monthly_test,affine_coupon_delta,47,terms,monthly_barrier,1004,128,23.42220337658588,35.591308984561294,0.9938753740324573,1.6907771745051046,2.563536736726725,0.0484673625444511,0.5338645418326693,0.953187250996016,0.9920318725099602,0.0,
reference,monthly_test,affine_coupon_delta,ensemble,schedule,ALL,1408,128,249.5605364521658,336.18718529051563,0.4443035102929519,254.59939120416493,342.062476088938,-104.17127342949301,0.0007102272727272727,0.005681818181818182,0.012073863636363636,1263.0,0.5676959619952494
reference,monthly_test,affine_coupon_delta,ensemble,schedule,nobs_early,128,128,103.21582331408698,146.54837062497623,0.8979353184207248,122.37112908850749,160.6749207136534,-114.05269478803886,0.0078125,0.015625,0.03125,119.0,0.44537815126050423
