item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl,hv_ns,iv_boot,iv_ns,hv_ns_se,iv_boot_se,iv_ns_se
KR6523318519,735603,STEP,1,0.9009828282828284,0.99981743,0.99981517,0,0.9995418602786958,1.0001104911178351,0.9995418602786958,0.0004705914233076988,0.0004910454067151128,0.0004705914233076988
KR6513308512,735603,STEP,1,0.9142686868686868,0.9992855,1.0002629,0,1.0001510881870985,1.0008303412072361,1.0001510881870985,0.00047227768157881184,0.0004916642363976883,0.00047227768157881184
KR6523313510,735603,STEP,1,0.8894262626262626,1.006111,1.007057,0,1.0064832758568227,1.0070353543929755,1.0064832758568227,0.0004972095124498959,0.0005131770240699312,0.0004972095124498959
KR6703322513,735604,STEP,1,0.965438383838384,1.008392,1.0095819,0,1.008854470831901,1.0101595945883541,1.008854470831901,0.0004136743116768503,0.00043236131465330317,0.0004136743116768503
KR6573309517,735605,STEP,1,0.888867,0.998117,0.99865854,0,0.9989665771353989,0.9993887985967099,0.9989665771353989,0.0005080356300888679,0.0005243867261258009,0.0005080356300888679
KR6573308519,735605,STEP,1,0.8645649999999999,1.0215527,1.0238047,0,1.0221096740804612,1.0236140469394623,1.0221096740804612,0.0005834998129825336,0.0006074023176861179,0.0005834998129825336
KR6573310515,735605,STEP,1,0.8475879999999999,0.99486834,0.99481344,0,0.9947996612437069,0.9942265929333866,0.9947996612437069,0.0007684781514983978,0.0007922266993554934,0.0007684781514983978
KR6523311514,735605,STEP,1,0.871086,0.97675735,0.9786042,0,0.9761141213100404,0.9785610567241907,0.9761141213100404,0.000765823408023861,0.0007961604757397868,0.000765823408023861
KR6503306518,735605,STEP,0,0.94474868,1.0004935,1.0011125,0,1.0009707532837986,1.0014921963982284,1.0009707532837986,0.0003656419052662214,0.0003794072338232428,0.0003656419052662214
KR6503304513,735605,STEP,0,0.92403391,0.9946917,0.99579906,0,0.9945748552657664,0.9956340475454927,0.9945748552657664,0.0005130905880559103,0.0005385780870835428,0.0005130905880559103
KR6523307512,735605,STEP,1,0.861175,0.9985176,0.9981844,0,0.9974122734699399,0.9981728099510073,0.9974122734699399,0.000665232809290069,0.0006870320184910557,0.000665232809290069
KR6523309518,735605,STEP,1,0.8387690000000001,0.996815,0.9971456,0,0.9973871192008257,0.9971014062702656,0.9973871192008257,0.0008216026492067108,0.0008472150772503253,0.0008216026492067108
KR6573311513,735605,STEP,1,0.825657,0.9946489,0.993977,0,0.9955894339345396,0.9949747411258518,0.9955894339345396,0.0009261648353450091,0.0009568842548425975,0.0009261648353450091
KR6503305510,735605,STEP,0,0.91369213,1.0001459,1.0017437,0,0.9999875797655433,1.0013685573693365,0.9999875797655433,0.0005380751131381286,0.0005642416384595195,0.0005380751131381286
KR6523373514,735606,STEP,1,0.8671353535353534,1.0095024,1.0099337,0,1.0100418360956014,1.0109894340157508,1.0100418360956014,0.0006332226377925106,0.0006643155143600867,0.0006332226377925106
