POPULATION start 31560 new / 58790 total
/home/researcher/.local/lib/python3.11/site-packages/torch/cuda/__init__.py:881: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/researcher/.local/lib/python3.11/site-packages/torch/cuda/__init__.py:881: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
POPULATION worker device 1 NVIDIA GeForce RTX 3090
POPULATION worker device 0 NVIDIA GeForce RTX 3090
POPULATION 200 / 31560 seconds 5.4 ETA min 14.2
POPULATION 400 / 31560 seconds 9.8 ETA min 12.7
POPULATION 600 / 31560 seconds 14.2 ETA min 12.2
POPULATION 800 / 31560 seconds 18.6 ETA min 11.9
POPULATION 1000 / 31560 seconds 22.9 ETA min 11.7
POPULATION 1200 / 31560 seconds 27.3 ETA min 11.5
POPULATION 1400 / 31560 seconds 31.7 ETA min 11.4
POPULATION 1600 / 31560 seconds 36.0 ETA min 11.2
POPULATION 1800 / 31560 seconds 40.4 ETA min 11.1
POPULATION 2000 / 31560 seconds 44.8 ETA min 11.0
POPULATION 2200 / 31560 seconds 49.1 ETA min 10.9
POPULATION 2400 / 31560 seconds 53.4 ETA min 10.8
POPULATION 2600 / 31560 seconds 57.8 ETA min 10.7
POPULATION 2800 / 31560 seconds 62.0 ETA min 10.6
POPULATION 3000 / 31560 seconds 66.2 ETA min 10.5
POPULATION 3200 / 31560 seconds 70.5 ETA min 10.4
POPULATION 3400 / 31560 seconds 74.8 ETA min 10.3
POPULATION 3600 / 31560 seconds 79.0 ETA min 10.2
POPULATION 3800 / 31560 seconds 83.3 ETA min 10.1
POPULATION 4000 / 31560 seconds 87.5 ETA min 10.0
POPULATION 4200 / 31560 seconds 91.8 ETA min 10.0
POPULATION 4400 / 31560 seconds 96.0 ETA min 9.9
POPULATION 4600 / 31560 seconds 100.3 ETA min 9.8
POPULATION 4800 / 31560 seconds 104.6 ETA min 9.7
POPULATION 5000 / 31560 seconds 108.8 ETA min 9.6
POPULATION 5200 / 31560 seconds 113.1 ETA min 9.6
POPULATION 5400 / 31560 seconds 117.4 ETA min 9.5
POPULATION 5600 / 31560 seconds 121.6 ETA min 9.4
POPULATION 5800 / 31560 seconds 125.9 ETA min 9.3
POPULATION 6000 / 31560 seconds 130.1 ETA min 9.2
POPULATION 6200 / 31560 seconds 134.3 ETA min 9.2
POPULATION 6400 / 31560 seconds 138.6 ETA min 9.1
POPULATION 6600 / 31560 seconds 142.8 ETA min 9.0
POPULATION 6800 / 31560 seconds 147.0 ETA min 8.9
POPULATION 7000 / 31560 seconds 151.2 ETA min 8.8
POPULATION 7200 / 31560 seconds 155.4 ETA min 8.8
POPULATION 7400 / 31560 seconds 159.6 ETA min 8.7
POPULATION 7600 / 31560 seconds 163.9 ETA min 8.6
POPULATION 7800 / 31560 seconds 168.1 ETA min 8.5
POPULATION 8000 / 31560 seconds 172.4 ETA min 8.5
POPULATION 8200 / 31560 seconds 176.6 ETA min 8.4
POPULATION 8400 / 31560 seconds 180.8 ETA min 8.3
POPULATION 8600 / 31560 seconds 185.0 ETA min 8.2
POPULATION 8800 / 31560 seconds 189.3 ETA min 8.2
POPULATION 9000 / 31560 seconds 193.5 ETA min 8.1
POPULATION 9200 / 31560 seconds 197.7 ETA min 8.0
