item,fair,mc
KR6523318519,0.9009828282828283,0.99856734
KR6523313510,0.8894262626262626,1.006126
KR6513308512,0.9142686868686869,1.0035692
KR6703322513,0.9654383838383839,1.007739
KR6523307512,0.861175,0.9976322
KR6573309517,0.888867,0.9986731
KR6573311513,0.825657,0.9938944
KR6523309518,0.8387690000000001,0.9971688
KR6573310515,0.8475879999999999,0.99404377
KR6573308519,0.8645649999999999,1.0219213
KR6523311514,0.871086,0.9758739
KR6523373514,0.8671353535353534,1.0087695
KR6573319516,0.8954340000000001,1.0043924
KR6573320514,0.8822049999999999,0.9764644
KR6583310513,0.8940610000000001,0.9825801
KR6533308518,0.993,0.9573907
KR6543309514,0.9977,0.9550802
KR6733305512,0.9120809999999999,0.9973103
KR6573321512,0.8915232323232323,1.0001601
KR6523324517,0.875813,0.9950975
KR6523331512,0.866317,0.9690401
KR6583308517,0.9183062,1.007511
KR6523329516,0.85052,1.0165806
KR6523326512,0.865223,1.0008079
KR6773304516,0.8851717171717173,1.0096605
KR6773303518,0.9148898989898989,0.998495
KR6543308516,0.9322,0.94908
KR6543317517,0.9812121212121212,0.9697015
KR6653305518,0.8847209999999999,0.9654531
KR6513332512,0.9147545454545454,1.0108012
KR6573323518,0.8915444444444446,1.0002065
KR6593311519,0.884094,0.99950147
KR6593309513,0.87941,0.9757135
KR6573352517,0.871751,1.0022967
KR6593306519,0.866034,0.96732104
KR6513316515,0.8838030000000001,0.9765983
KR6513314510,0.8978229999999999,0.9765983
KR6513315517,0.9112290000000001,0.9765983
KR6513313512,0.880541,0.9765983
KR6673305514,0.9120809999999999,0.996682
KR6503325518,0.91122579,0.99991125
KR6593312517,0.873423,0.99433494
KR6703323511,0.9550444444444445,1.0091765
KR6593310511,0.830464,0.9962286
KR6573353515,0.813583,0.99399775
KR6553314511,0.9404858585858585,1.0052464
KR6523352518,0.88216,1.0149146
KR6523356519,0.867389,0.9730045
KR6523351510,0.8709120000000001,0.9960232
KR6543326518,0.9702020202020202,0.969091
KR6593349519,1.0300272727272728,1.0079147
KR6573371517,0.8385819999999999,0.9926424
KR6553361512,0.8911252525252524,0.99749666
KR6553362510,0.9015939393939395,1.0011244
KR6573368513,0.851475,1.0126818
KR6573369511,0.884858,1.0025761
KR6573372515,0.863682,0.9694006
KR6573370519,0.8670110000000001,1.0008249
KR6593377510,1.019409090909091,1.0107676
KR6703329518,0.9597727272727272,1.0115857
KR6523370510,0.839109,1.0274771
KR6523368514,0.857933,0.9968496
KR6523372516,0.846201,0.96695596
KR65233AS517,0.8966484848484848,1.0113127
KR65733AG511,0.8844110000000001,1.0011623
KR65733AE516,0.9094700000000001,1.0139234
KR6503353510,0.9511262626262625,1.018913
KR6503352512,0.9253646464646466,1.0178376
KR6543320511,0.9313,0.947876
KR6533327518,0.9915,0.9543605
KR6733308516,0.881885,0.9959575
KR6773309515,0.945050505050505,1.0092033
KR6513381519,0.9288565656565657,1.0107033
KR6583320512,0.8980712,1.0057443
KR65933AX512,1.0341010101010102,1.0120138
KR65733AF513,0.923615,1.0117971
KR6583323516,0.8276148999999999,0.9954694
KR6543321519,0.9362,0.9139926
KR65733AH519,0.8411489999999999,0.99786705
KR6593364518,0.896453,1.0241714
KR6593367511,0.8844069999999999,1.0053304
KR6513344517,0.898175,0.9841463
KR6593394515,0.8749680000000001,1.0059086
KR6593368519,0.924118,1.0119137
KR65733B7513,0.8074140000000001,0.99253505
KR6513342511,0.856835,0.98403215
KR6503387518,0.8882579599999999,1.0139719
KR6513343519,0.928949,0.9841463
KR65733B8511,0.8574379999999999,0.9697018
KR6593370515,0.8672049999999999,0.96962416
KR6593366513,0.8857809999999999,1.0008254
KR6593365515,0.8860530000000001,0.99370164
KR6503360515,0.949379797979798,1.0158486
KR65233AG512,0.8546100000000001,0.96021366
KR6773310513,0.932509090909091,1.0048056
KR6583343514,0.9157215,1.0044754
KR65233AC511,0.86777,0.99607426
KR65933AW514,1.048938383838384,1.0088238
KR65233AF514,0.8478450000000001,1.0017419
KR65233AD519,0.8749120000000001,1.0161843
KR6543348512,0.9817171717171718,0.96535754
KR65733BG519,0.8696149999999999,0.9941385
KR6793309511,1.0222252525252526,1.0043846
KR65733BJ513,0.817054,0.9895389
KR65733BF511,0.8775229999999999,1.0075626
KR65733BH517,0.8807780000000001,0.9961612
KR6793308513,0.948590909090909,1.0078726
KR65233B6510,0.81521,0.9927313
KR65233B5512,0.8367959999999999,1.0197238
KR65233B4515,0.8698899999999999,0.99846095
KR65233B1511,0.857757,0.987608
KR65333A8516,0.9994949494949495,1.0054711
KR6583349511,0.8811684,0.9726181
KR65033AW513,0.9184393939393939,1.0130697
KR65733CA510,0.830414,0.9926002
KR65733C9518,0.875116,0.9972907
KR6503363519,0.9184393939393939,1.0130697
KR6533356517,0.993,0.99593616
KR6543337515,0.9337,0.9421505
KR6543352514,0.9922222222222222,0.9762249
KR65033AV515,0.9304535353535354,1.0193189
KR65533AL515,0.9439272727272726,1.0047749
KR65233CY511,0.8992171717171717,1.0091466
KR6793310519,0.9565060606060606,1.0033247
KR65233D0511,0.8933545454545454,1.0098668
KR6543353512,0.9816161616161616,0.9755111
KR6533359511,0.993,0.9465498
KR65533AM513,0.9198464646464646,1.0136682
KR65733C8510,0.8642610000000001,1.0115689
KR65133B0514,0.9341111111111112,0.9991573
KR65733CB518,0.8582219999999999,0.9641024
KR65733CR514,0.839151,0.9962428
KR65933AP518,0.895709,0.98685336
KR65033BX519,0.90096917,0.99868935
KR65933AT510,0.881602,1.0046
KR65533AN511,0.9399898989898989,1.0086415
KR6673319515,0.8991399999999999,1.002254
KR6703371510,0.878056,0.9664193
KR6703368516,0.944983,1.0086242
KR65933AV516,0.863556,1.0025271
KR65933AS512,0.879181,0.9966658
KR65733CS512,0.78972,0.9883892
KR6773316510,0.883813,1.0018331
KR6703394512,0.959040404040404,1.008874
KR65933C4517,1.0391929292929294,1.0126595
KR6513386518,0.9122520000000001,0.9768866
KR6513387516,0.919323,0.977386
KR6773314515,0.9106575757575758,1.008874
KR65733CT510,0.844816,0.9672952
KR6543366514,0.9816161616161616,0.9749467
KR65233C7517,0.8340290000000001,0.99406147
KR65233C6519,0.8589129999999999,1.0138475
KR65233C9513,0.844052,0.96240336
KR65133CB511,0.9012707070707071,0.9883662
KR65733D0516,0.8394229999999999,1.0094657
KR65533C2515,0.9429777777777777,1.01044
KR65733D3510,0.81924,0.9896134
KR65333B5511,0.9994949494949495,1.0053809
KR65733D2512,0.8866360000000001,0.9936508
KR65733D1514,0.9078069999999999,1.0052544
KR65533C7514,0.9601999999999999,1.0074356
