payoff,cohort,model,seed,scope,axis,offset,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,monthly_test,affine_coupon_delta,101,schedule,nobs_early,1.0,128,128,137.17889558479146,157.95950430905623,0.7754538174453922,162.385991624226,201.36228005842884,140.35109067002998,0.0,0.03125,0.0390625,127,0.5039370078740157
detailed,monthly_test,affine_coupon_delta,101,schedule,nobs_late,1.0,128,128,347.2845179046142,371.86515826689765,0.24755172593850672,326.4657328072001,345.3451986367186,-326.4657328072001,0.0,0.0,0.0,123,0.5609756097560976
detailed,monthly_test,affine_coupon_delta,101,schedule,nobs_middle,1.0,128,128,363.01929064590496,397.2350828380269,0.1383422021047226,341.9652947964116,362.2875000904713,-341.9652947964116,0.0,0.0,0.0,121,0.7107438016528925
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,-12.0,128,128,156.03107186198764,177.72620000143783,0.6476077015650753,183.9048444854589,203.95175979368278,132.76533570248796,0.0,0.0078125,0.03125,125,0.416
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,-6.0,128,128,88.13315154538286,107.3269451283181,0.9157672204306913,77.57269749349945,101.01487193347667,11.595809641216288,0.0,0.0078125,0.015625,125,0.608
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,-3.0,128,128,66.51204653402013,81.03685950785564,0.9586186776553567,52.284860211098035,60.1622189119251,28.261997666593523,0.0078125,0.03125,0.046875,125,0.608
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,-1.0,128,128,53.325158388094934,78.48136643531069,0.9646376776559582,59.298045494752536,67.58722673374822,57.294462111918584,0.0,0.03125,0.0625,121,0.23140495867768596
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,1.0,128,128,75.6055810418998,92.83082743560836,0.9560071747208574,22.09744716638185,26.693226531185957,-19.57356692023954,0.046875,0.1484375,0.21875,122,0.9180327868852459
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,3.0,128,128,108.58731612211295,130.77017929448337,0.9194301772408259,68.111975020354,75.93002859568674,-67.08802619742647,0.0078125,0.0234375,0.0546875,119,0.8823529411764706
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,6.0,128,128,186.12469566081876,217.94138064391083,0.8048861964178359,153.37522519756223,167.78842664887193,-152.57846311055852,0.0,0.0,0.015625,124,0.49193548387096775
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,12.0,128,128,291.22879843961596,327.9303840130725,0.6289847684199569,263.0249783787397,284.2193367465073,-260.2397762021444,0.0,0.0,0.0,119,0.47058823529411764
detailed,monthly_test,affine_coupon_delta,101,terms,coupon_regular,-0.01,128,128,52.01468923158975,66.24347200311315,0.9772354462817424,16.03979470828766,19.617340976561263,4.11276122445149,0.015625,0.1953125,0.3671875,128,1.0
detailed,monthly_test,affine_coupon_delta,101,terms,coupon_regular,-0.005,128,128,57.35375569563622,72.74225136243308,0.9721453161825578,8.019925293821046,9.808688916628858,2.0564178651287643,0.0625,0.3671875,0.5625,128,1.0
