row,family,split,origin,structure,monthly,axis,offset,scope,affected
0,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,base,0.0,terms,0
1,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,coupon_regular,-0.01,terms,120000
2,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,coupon_regular,-0.005,terms,120000
3,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,coupon_regular,-0.0025,terms,120000
4,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,coupon_regular,-0.001,terms,120000
5,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,coupon_regular,0.001,terms,120000
6,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,coupon_regular,0.0025,terms,120000
7,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,coupon_regular,0.005,terms,120000
8,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,coupon_regular,0.01,terms,120000
9,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,first_strike,-0.05,terms,24607
10,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,first_strike,-0.025,terms,12481
11,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,first_strike,-0.01,terms,4941
12,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,first_strike,-0.005,terms,2455
13,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,first_strike,0.005,terms,2382
14,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,first_strike,0.01,terms,4813
15,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,first_strike,0.025,terms,11732
16,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,first_strike,0.05,terms,22315
17,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,last_strike,-0.05,terms,1288
18,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,last_strike,-0.025,terms,691
19,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,last_strike,-0.01,terms,293
20,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,last_strike,-0.005,terms,139
21,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,last_strike,0.005,terms,144
22,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,last_strike,0.01,terms,299
23,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,last_strike,0.025,terms,829
24,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,last_strike,0.05,terms,1760
25,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,monthly_barrier,-0.05,terms,16069
26,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,monthly_barrier,-0.025,terms,14406
27,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,monthly_barrier,-0.01,terms,10000
28,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,monthly_barrier,-0.005,terms,6491
29,published_KR6SH0006Y24,stress,published_monthly,LIZARD no-KI,True,monthly_barrier,0.005,terms,6664
