row,family,split,origin,structure,monthly,axis,offset,scope,affected
0,train-regular-00000,train,synthetic_regular,STEP KI,False,base,0.0,terms,0
1,train-regular-00000,train,synthetic_regular,STEP KI,False,coupon_regular,-0.01,terms,33042
2,train-regular-00000,train,synthetic_regular,STEP KI,False,coupon_regular,-0.005,terms,33042
3,train-regular-00000,train,synthetic_regular,STEP KI,False,coupon_regular,-0.0025,terms,33042
4,train-regular-00000,train,synthetic_regular,STEP KI,False,coupon_regular,-0.001,terms,33042
5,train-regular-00000,train,synthetic_regular,STEP KI,False,coupon_regular,0.001,terms,33042
6,train-regular-00000,train,synthetic_regular,STEP KI,False,coupon_regular,0.0025,terms,33042
7,train-regular-00000,train,synthetic_regular,STEP KI,False,coupon_regular,0.005,terms,33042
8,train-regular-00000,train,synthetic_regular,STEP KI,False,coupon_regular,0.01,terms,33042
9,train-regular-00000,train,synthetic_regular,STEP KI,False,ki_barrier,-0.05,terms,790
10,train-regular-00000,train,synthetic_regular,STEP KI,False,ki_barrier,-0.025,terms,355
11,train-regular-00000,train,synthetic_regular,STEP KI,False,ki_barrier,-0.01,terms,148
12,train-regular-00000,train,synthetic_regular,STEP KI,False,ki_barrier,-0.005,terms,77
13,train-regular-00000,train,synthetic_regular,STEP KI,False,ki_barrier,0.005,terms,77
14,train-regular-00000,train,synthetic_regular,STEP KI,False,ki_barrier,0.01,terms,142
15,train-regular-00000,train,synthetic_regular,STEP KI,False,ki_barrier,0.025,terms,289
16,train-regular-00000,train,synthetic_regular,STEP KI,False,ki_barrier,0.05,terms,504
17,train-regular-00000,train,synthetic_regular,STEP KI,False,first_strike,-0.05,terms,7463
18,train-regular-00000,train,synthetic_regular,STEP KI,False,first_strike,-0.025,terms,3917
19,train-regular-00000,train,synthetic_regular,STEP KI,False,first_strike,-0.01,terms,1524
20,train-regular-00000,train,synthetic_regular,STEP KI,False,first_strike,-0.005,terms,737
21,train-regular-00000,train,synthetic_regular,STEP KI,False,first_strike,0.005,terms,750
22,train-regular-00000,train,synthetic_regular,STEP KI,False,first_strike,0.01,terms,1542
23,train-regular-00000,train,synthetic_regular,STEP KI,False,first_strike,0.025,terms,3771
24,train-regular-00000,train,synthetic_regular,STEP KI,False,first_strike,0.05,terms,7263
25,train-regular-00000,train,synthetic_regular,STEP KI,False,last_strike,-0.05,terms,483
26,train-regular-00000,train,synthetic_regular,STEP KI,False,last_strike,-0.025,terms,236
27,train-regular-00000,train,synthetic_regular,STEP KI,False,last_strike,-0.01,terms,88
28,train-regular-00000,train,synthetic_regular,STEP KI,False,last_strike,-0.005,terms,44
29,train-regular-00000,train,synthetic_regular,STEP KI,False,last_strike,0.005,terms,47
30,train-regular-00000,train,synthetic_regular,STEP KI,False,last_strike,0.01,terms,97
31,train-regular-00000,train,synthetic_regular,STEP KI,False,last_strike,0.025,terms,204
32,train-regular-00000,train,synthetic_regular,STEP KI,False,last_strike,0.05,terms,384
33,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,base,0.0,terms,0
34,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,coupon_regular,-0.01,terms,40000
35,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,coupon_regular,-0.005,terms,40000
36,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,coupon_regular,-0.0025,terms,40000
37,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,coupon_regular,-0.001,terms,40000
38,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,coupon_regular,0.001,terms,40000
39,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,coupon_regular,0.0025,terms,40000
40,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,coupon_regular,0.005,terms,40000
41,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,coupon_regular,0.01,terms,40000
42,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,first_strike,-0.05,terms,4823
43,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,first_strike,-0.025,terms,2671
44,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,first_strike,-0.01,terms,1140
45,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,first_strike,-0.005,terms,600
46,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,first_strike,0.005,terms,570
47,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,first_strike,0.01,terms,1197
48,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,first_strike,0.025,terms,3153
49,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,first_strike,0.05,terms,6740
50,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,last_strike,-0.05,terms,282
51,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,last_strike,-0.025,terms,128
52,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,last_strike,-0.01,terms,65
53,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,last_strike,-0.005,terms,33
54,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,last_strike,0.005,terms,39
55,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,last_strike,0.01,terms,64
56,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,last_strike,0.025,terms,151
57,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,last_strike,0.05,terms,269
58,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,monthly_barrier,-0.05,terms,7995
59,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,monthly_barrier,-0.025,terms,6197
60,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,monthly_barrier,-0.01,terms,3542
61,train-monthly-00000,train,synthetic_monthly,LIZARD no-KI,True,monthly_barrier,-0.005,terms,2013
