payoff,cohort,model,seed,scope,axis,offset,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
reference,monthly_test,affine_coupon_delta,101,schedule,nobs_early,1.0,128,128,142.74510843052832,175.91978118740516,0.8529236481114757,195.97632506963296,221.9014665776854,-193.6933586378497,0.0078125,0.015625,0.03125,119,0.3949579831932773
reference,monthly_test,affine_coupon_delta,101,schedule,nobs_late,1.0,128,128,486.0740716406003,542.3476432773717,-0.7993375311171294,545.6296032964954,591.1977998590448,-545.6296032964954,0.0,0.0,0.0,125,0.488
reference,monthly_test,affine_coupon_delta,101,schedule,nobs_middle,1.0,128,128,492.2814449591486,526.2762305020973,-0.5835120345993745,551.8369766150439,581.0209017252682,-551.8369766150439,0.0,0.0,0.0,121,0.5537190082644629
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,-12.0,128,128,307.29733609919833,334.5691008039696,-0.17448922957804713,249.93192917097286,275.7161196345623,243.05515369065293,0.0,0.0,0.0078125,125,0.536
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,-6.0,128,128,201.68824677747278,217.677548488334,0.6820557655135291,142.52573544060732,161.40479456320017,138.56427960725856,0.0,0.015625,0.015625,120,0.5583333333333333
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,-3.0,128,128,116.1284818299376,133.80210114382825,0.899179418551694,65.03574324712099,78.48600042878061,48.64600930768211,0.0078125,0.0234375,0.046875,113,0.5309734513274337
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,-1.0,128,128,99.15867232165847,113.85250800473518,0.9341054907931365,40.33469754217306,44.85520276511484,39.04803081293782,0.0,0.03125,0.0625,97,0.6185567010309279
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,1.0,128,128,39.349505487771836,46.80766124224867,0.9898898042280804,40.95695990486426,43.55353728387797,-40.83441141266576,0.0,0.0078125,0.015625,96,0.65625
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,3.0,128,128,64.15392594181732,79.44743572097423,0.9733437957754086,119.54869217199348,126.90227403270721,-119.54869217199348,0.0,0.0078125,0.015625,111,0.6216216216216216
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,6.0,128,128,170.36975294581137,186.61943994031586,0.8694752356033416,227.90932683316078,241.39243646085623,-227.90932683316078,0.0,0.0,0.0,117,0.5897435897435898
reference,monthly_test,affine_coupon_delta,101,schedule,tenor_months,12.0,128,128,363.8008236469225,389.10429230278226,0.5376472000969033,422.50628385693165,446.66852021966855,-422.50628385693165,0.0,0.0,0.0,119,0.5882352941176471
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,-0.01,128,128,61.80680386626623,76.49073217348639,0.9723630785731271,8.7388396570459,10.767576319521504,-1.5914952219463885,0.03125,0.234375,0.7578125,128,1.0
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,-0.005,128,128,61.89628802807033,75.26982390363099,0.9729003545437311,4.369480032240972,5.3838623636944245,-0.79578933903637,0.046875,0.7578125,0.953125,128,1.0
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,-0.0025,128,128,62.01121205511141,74.79733067201488,0.9730805071334363,2.1846934985369444,2.691913489944113,-0.39788589812815184,0.1875,0.953125,0.9921875,128,1.0
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,-0.001,128,128,62.08012672157302,74.55902642416135,0.9731595877555304,0.873886989429593,1.0767793320351202,-0.1592285774337748,0.7578125,1.0,1.0,128,1.0
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,0.001,128,128,62.219543492310876,74.2948233339549,0.9732305757439013,0.8739190804772078,1.0767620853623947,0.15911149590586612,0.7578125,1.0,1.0,128,1.0
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,0.0025,128,128,62.34129159669196,74.1370999438687,0.9732577208657158,2.184723774747302,2.691892412638698,0.3978391328516105,0.1875,0.953125,0.9921875,128,1.0
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,0.005,128,128,62.568947781358496,73.9519217510684,0.9732525724075008,4.369344232836738,5.383679931348402,0.7956978986815857,0.046875,0.7578125,0.953125,128,1.0
reference,monthly_test,affine_coupon_delta,101,terms,coupon_regular,0.01,128,128,63.1002494997577,73.87500632566368,0.9730498960749242,8.738811030983925,10.767522298656145,1.5914750679706533,0.03125,0.234375,0.7578125,128,1.0
reference,monthly_test,affine_coupon_delta,101,terms,first_strike,-0.05,128,128,33.719706572638174,42.41008256046508,0.9895966762622843,34.2517537724622,45.19691769185716,-30.084618290594033,0.0234375,0.125,0.2421875,126,0.6507936507936508
reference,monthly_test,affine_coupon_delta,101,terms,first_strike,-0.025,128,128,46.51510291691082,54.88681027985279,0.984283336504277,18.835362403698433,25.592391852039125,-15.845211993307506,0.0546875,0.28125,0.484375,128,0.640625
reference,monthly_test,affine_coupon_delta,101,terms,first_strike,-0.01,128,128,55.62514255765765,65.6686108785055,0.9785599784686378,7.945151464714096,10.938330160644083,-6.61203496528348,0.15625,0.5390625,0.6484375,124,0.6370967741935484
reference,monthly_test,affine_coupon_delta,101,terms,first_strike,-0.005,128,128,58.87056137234537,69.90735842004561,0.9760312927198311,4.037142235226687,5.583202702444689,-3.3481079269052616,0.3125,0.6484375,0.890625,123,0.6341463414634146
