model,variant,seed,n,R2,MAE,RMSE,MAPE
deeponet,A,0,23486,0.9513452887181368,36.15029116920717,62.614875324508645,0.3705217536078961
deeponet,A,1,23486,0.858394625838558,57.01805489653412,106.82058159931275,0.5851054705999653
deeponet,A,2,23486,0.9555276750693468,35.06992564080729,59.863208122702204,0.3595691956807705
deeponet,A,3,23486,0.9397784645462726,43.699488175934604,69.66120497963325,0.44864686888626965
deeponet,A,4,23486,0.964916900381782,31.850120901813842,53.169680252440706,0.3280661128820321
deeponet,B,0,23486,0.9606305913390049,41.94459464361747,71.63410064459457,0.43704344497733255
deeponet,B,1,23486,0.9340526677544658,59.23235385335945,92.71264747782186,0.6185650439232717
deeponet,B,2,23486,0.9473106330783815,54.487978889551215,82.87086216823705,0.5647757505175218
deeponet,B,3,23486,0.9409910625294033,56.49135793238527,87.69993354865413,0.5868329386962255
deeponet,B,4,23486,0.9494207862718449,48.65260565017458,81.1944611316453,0.5064300153408617
xgb,A,0,23486,0.9059612051691613,57.27294689602317,87.04996435897715,0.5860087055214774
xgb,A,1,23486,0.9019886380295509,58.639541990973356,88.86961165644627,0.5994297045573385
xgb,A,2,23486,0.9045460476126944,57.53485450055352,87.70251106070846,0.588397565820869
xgb,A,3,23486,0.9030676904468515,58.44425605041303,88.37905439680857,0.5974293950569313
xgb,A,4,23486,0.9010687513730231,57.910250012773574,89.28568101257454,0.592478915774163
xgb,B,0,23486,0.9163829563435578,67.30683214255302,104.39694051142298,0.6989574198155691
xgb,B,1,23486,0.9156569980856581,67.73280505407477,104.84914517943932,0.7030038891765611
xgb,B,2,23486,0.9163678058137141,67.8415252831474,104.40639789746947,0.7045100401744466
xgb,B,3,23486,0.9173701891877696,67.228524350677,103.7788242622715,0.6980340274131666
xgb,B,4,23486,0.9173928949797309,66.6811814783275,103.76456462480033,0.692929675638053
